LID,BPID,FPID,BLID,FLID
1,343,344,0,2
2,344,345,1,0
3,346,347,0,0
4,348,349,0,0
5,350,351,0,0
6,352,353,0,0
7,354,355,0,0
8,356,357,0,9
9,357,358,8,10
10,358,359,9,11
11,359,360,10,12
12,360,361,11,13
13,361,362,12,14
14,362,363,13,15
15,363,364,14,16
16,364,365,15,17
17,365,366,16,18
18,366,367,17,19
19,367,368,18,20
20,368,369,19,21
21,369,370,20,22
22,370,371,21,23
23,371,372,22,24
24,372,373,23,25
25,373,374,24,26
26,374,375,25,27
27,375,376,26,28
28,376,377,27,29
29,377,378,28,30
30,378,379,29,31
31,379,380,30,32
32,380,381,31,33
33,381,382,32,34
34,382,383,33,35
35,383,384,34,36
36,384,385,35,37
37,385,386,36,38
38,386,387,37,39
39,387,388,38,40
40,388,389,39,41
41,389,390,40,0
42,391,392,0,43
43,392,393,42,0
44,394,395,0,45
45,395,396,44,46
46,396,397,45,47
47,397,398,46,48
48,398,399,47,49
49,399,400,48,50
50,400,401,49,51
51,401,402,50,52
52,402,403,51,53
53,403,404,52,54
54,404,405,53,55
55,405,406,54,56
56,406,407,55,57
57,407,408,56,58
58,408,409,57,59
59,409,410,58,60
60,410,411,59,61
61,411,412,60,62
62,412,413,61,63
63,413,414,62,64
64,414,415,63,65
65,415,416,64,66
66,416,417,65,67
67,417,418,66,68
68,418,419,67,69
69,419,420,68,70
70,420,421,69,71
71,421,422,70,72
72,422,423,71,73
73,423,424,72,74
74,424,425,73,75
75,425,426,74,76
76,426,427,75,77
77,427,428,76,78
78,428,429,77,0
79,430,431,0,0
80,432,433,0,0
