PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,-1,54.55,-7.64,0,0,0,0
2,0,0,-1,53.59,-7.93,0,0,0,0
3,0,0,-1,52.63,-8.22,0,0,0,0
4,0,0,-1,51.68,-8.51,0,0,0,0
5,0,0,-1,50.72,-8.8,0,0,0,0
6,0,0,-1,49.76,-9.09,0,0,0,0
7,0,0,-1,48.8,-9.37,0,0,0,0
8,0,0,-1,47.85,-9.66,0,0,0,0
9,0,0,-1,46.89,-9.95,0,0,0,0
10,0,0,-1,45.93,-10.24,0,0,0,0
11,0,0,-1,44.97,-10.53,0,0,0,0
12,0,0,-1,44.02,-10.82,0,0,0,0
13,0,0,-1,43.06,-11.1,0,0,0,0
14,0,0,-1,42.1,-11.39,0,0,0,0
15,0,0,-1,41.14,-11.68,0,0,0,0
16,0,0,-1,40.19,-11.97,0,0,0,0
17,0,0,-1,39.23,-12.26,0,0,0,0
18,0,0,-1,38.27,-12.55,0,0,0,0
19,0,0,-1,37.31,-12.83,0,0,0,0
20,0,0,-1,36.36,-13.12,0,0,0,0
21,0,0,-1,35.4,-13.41,0,0,0,0
22,0,0,-1,34.44,-13.7,0,0,0,0
23,0,0,-1,33.48,-13.99,0,0,0,0
24,0,0,-1,32.53,-14.28,0,0,0,0
25,0,0,-1,31,-14.76,0,0,0,0
26,0,0,-1,29.66,-15.14,0,0,0,0
27,0,0,-1,29.65,-15.14,0,0,0,0
28,0,0,-1,28.7,-15.43,0,0,0,0
29,0,0,-1,27.74,-15.72,0,0,0,0
30,0,0,-1,26.78,-16,0,0,0,0
31,0,0,-1,25.82,-16.29,0,0,0,0
32,0,0,-1,24.87,-16.58,0,0,0,0
33,0,0,-1,23.91,-16.87,0,0,0,0
34,0,0,-1,22.95,-17.16,0,0,0,0
35,0,0,-1,21.99,-17.45,0,0,0,0
36,0,0,-1,21.04,-17.73,0,0,0,0
37,0,0,-1,20.08,-18.02,0,0,0,0
38,0,0,-1,19.12,-18.31,0,0,0,0
39,0,0,-1,18.16,-18.6,0,0,0,0
40,0,0,-1,17.21,-18.89,0,0,0,0
41,0,0,-1,16.25,-19.18,0,0,0,0
42,0,0,-1,15.29,-19.46,0,0,0,0
43,0,0,-1,14.33,-19.75,0,0,0,0
44,0,0,-1,13.38,-20.04,0,0,0,0
45,0,0,-1,12.42,-20.33,0,0,0,0
46,0,0,-1,12.07,-20.43,0,0,0,0
47,0,0,-1,11.11,-20.72,0,0,0,0
48,0,0,-1,10.15,-21,0,0,0,0
49,0,0,-1,9.19,-21.29,0,0,0,0
50,0,0,-1,8.24,-21.57,0,0,0,0
51,0,0,-1,7.28,-21.85,0,0,0,0
52,0,0,-1,6.31,-22.13,0,0,0,0
53,0,0,-1,5.35,-22.4,0,0,0,0
54,0,0,-1,4.39,-22.68,0,0,0,0
55,0,0,-1,3.43,-22.95,0,0,0,0
56,0,0,-1,2.47,-23.23,0,0,0,0
57,0,0,-1,1.51,-23.5,0,0,0,0
58,0,0,-1,0.54,-23.77,0,0,0,0
59,0,0,-1,-0.42,-24.04,0,0,0,0
60,0,0,-1,-1.38,-24.31,0,0,0,0
61,0,0,-1,-2.34,-24.58,0,0,0,0
62,0,0,-1,-3.31,-24.85,0,0,0,0
63,0,0,-1,-4.27,-25.11,0,0,0,0
64,0,0,-1,-5.24,-25.38,0,0,0,0
65,0,0,-1,-6.2,-25.64,0,0,0,0
66,0,0,-1,-7.16,-25.91,0,0,0,0
67,0,0,-1,-8.13,-26.17,0,0,0,0
68,0,0,-1,-9.09,-26.43,0,0,0,0
69,0,0,-1,-10.06,-26.69,0,0,0,0
70,0,0,-1,-11.03,-26.95,0,0,0,0
71,0,0,-1,-11.99,-27.21,0,0,0,0
72,0,0,-1,-12.96,-27.47,0,0,0,0
73,0,0,-1,-13.92,-27.73,0,0,0,0
74,0,0,-1,-14.89,-27.99,0,0,0,0
75,0,0,-1,-15.85,-28.25,0,0,0,0
76,0,0,-1,-16.82,-28.51,0,0,0,0
77,0,0,-1,-17.79,-28.76,0,0,0,0
78,0,0,-1,-18.75,-29.02,0,0,0,0
79,0,0,-1,-19.72,-29.27,0,0,0,0
80,0,0,-1,-20.69,-29.53,0,0,0,0
81,0,0,-1,-21.66,-29.78,0,0,0,0
82,0,0,-1,-22.62,-30.04,0,0,0,0
83,0,0,-1,-23.59,-30.29,0,0,0,0
84,0,0,-1,-24.56,-30.54,0,0,0,0
85,0,0,-1,-25.53,-30.79,0,0,0,0
