ID,LID,Width,Color,type,LinkID
1,4,0.2,Y,0,0
2,5,0.2,Y,0,0
3,6,0.2,W,0,0
4,7,0.2,Y,0,0
5,8,0.2,Y,0,0
6,9,0.2,Y,0,0
7,10,0.2,Y,0,0
8,11,0.2,Y,0,0
9,12,0.2,Y,0,0
10,13,0.2,Y,0,0
11,14,0.2,Y,0,0
12,15,0.2,Y,0,0
13,16,0.2,Y,0,0
14,17,0.2,Y,0,0
15,18,0.2,Y,0,0
16,19,0.2,Y,0,0
17,20,0.2,Y,0,0
18,21,0.2,Y,0,0
19,22,0.2,Y,0,0
20,23,0.2,Y,0,0
21,24,0.2,Y,0,0
22,25,0.2,Y,0,0
23,26,0.2,Y,0,0
24,27,0.2,Y,0,0
25,28,0.2,Y,0,0
26,29,0.2,Y,0,0
27,30,0.2,Y,0,0
28,31,0.2,Y,0,0
29,32,0.2,Y,0,0
30,33,0.2,Y,0,0
31,34,0.2,Y,0,0
32,35,0.2,Y,0,0
33,36,0.2,Y,0,0
34,37,0.2,Y,0,0
35,38,0.2,Y,0,0
36,39,0.2,Y,0,0
37,40,0.2,Y,0,0
38,41,0.2,Y,0,0
39,42,0.2,Y,0,0
40,43,0.2,Y,0,0
41,44,0.2,Y,0,0
42,45,0.2,Y,0,0
43,46,0.2,Y,0,0
44,47,0.2,Y,0,0
45,48,0.2,Y,0,0
46,49,0.2,Y,0,0
47,50,0.2,Y,0,0
48,51,0.2,Y,0,0
49,52,0.2,Y,0,0
50,53,0.2,Y,0,0
51,54,0.2,Y,0,0
52,55,0.2,Y,0,0
53,56,0.2,Y,0,0
54,57,0.2,Y,0,0
55,58,0.2,Y,0,0
56,59,0.2,Y,0,0
57,60,0.2,Y,0,0
58,61,0.2,Y,0,0
59,62,0.2,Y,0,0
60,63,0.2,Y,0,0
61,64,0.2,Y,0,0
62,65,0.2,Y,0,0
63,66,0.2,Y,0,0
64,67,0.2,Y,0,0
65,68,0.2,Y,0,0
66,69,0.2,Y,0,0
67,70,0.2,Y,0,0
68,71,0.2,Y,0,0
69,72,0.2,Y,0,0
70,73,0.2,Y,0,0
71,74,0.2,Y,0,0
72,75,0.2,Y,0,0
73,76,0.2,Y,0,0
74,77,0.2,Y,0,0
75,78,0.2,Y,0,0
76,79,0.2,Y,0,0
77,80,0.2,W,0,0
