PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,0,-0.16,28.73,0,0,0,0
2,0,0,0,-0.08,27.73,0,0,0,0
3,0,0,0,-0.02,26.73,0,0,0,0
4,0,0,0,0.03,25.74,0,0,0,0
5,0,0,0,0.08,24.74,0,0,0,0
6,0,0,0,0.12,23.74,0,0,0,0
7,0,0,0,0.15,22.74,0,0,0,0
8,0,0,0,0.19,21.74,0,0,0,0
9,0,0,0,0.21,20.74,0,0,0,0
10,0,0,0,0.24,19.74,0,0,0,0
11,0,0,0,0.27,18.74,0,0,0,0
12,0,0,0,0.29,17.74,0,0,0,0
13,0,0,0,0.31,16.74,0,0,0,0
14,0,0,0,0.33,15.74,0,0,0,0
15,0,0,0,0.35,14.74,0,0,0,0
16,0,0,0,0.37,13.74,0,0,0,0
17,0,0,0,0.39,12.74,0,0,0,0
18,0,0,0,0.4,11.74,0,0,0,0
19,0,0,0,0.42,10.74,0,0,0,0
20,0,0,0,0.44,9.74,0,0,0,0
21,0,0,0,0.48,8.74,0,0,0,0
22,0,0,0,0.42,7.75,0,0,0,0
23,0,0,0,0.25,6.76,0,0,0,0
24,0,0,0,-0.02,5.8,0,0,0,0
25,0,0,0,-0.38,4.86,0,0,0,0
26,0,0,0,-0.83,3.97,0,0,0,0
27,0,0,0,-1.36,3.12,0,0,0,0
28,0,0,0,-1.96,2.32,0,0,0,0
29,0,0,0,-2.64,1.59,0,0,0,0
30,0,0,0,-3.38,0.92,0,0,0,0
31,0,0,0,-4.19,0.32,0,0,0,0
32,0,0,0,-5.05,-0.19,0,0,0,0
33,0,0,0,-5.95,-0.61,0,0,0,0
34,0,0,0,-6.9,-0.93,0,0,0,0
35,0,0,0,-7.87,-1.15,0,0,0,0
36,0,0,0,-8.87,-1.27,0,0,0,0
37,0,0,0,-9.87,-1.28,0,0,0,0
38,0,0,0,-10.17,-1.26,0,0,0,0
39,0,0,0,-3.1,83.14,0,0,0,0
40,0,0,0,-2.21,82.69,0,0,0,0
41,0,0,0,-1.37,82.15,0,0,0,0
42,0,0,0,-0.58,81.53,0,0,0,0
43,0,0,0,0.1,80.8,0,0,0,0
44,0,0,0,0.7,80,0,0,0,0
45,0,0,0,1.17,79.12,0,0,0,0
46,0,0,0,1.54,78.19,0,0,0,0
47,0,0,0,1.81,77.22,0,0,0,0
48,0,0,0,2,76.24,0,0,0,0
49,0,0,0,2.13,75.25,0,0,0,0
50,0,0,0,2.2,74.25,0,0,0,0
51,0,0,0,2.24,73.25,0,0,0,0
52,0,0,0,2.25,72.25,0,0,0,0
53,0,0,0,2.26,71.25,0,0,0,0
54,0,0,0,2.25,70.25,0,0,0,0
55,0,0,0,2.24,69.25,0,0,0,0
56,0,0,0,2.25,68.25,0,0,0,0
