PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,-0.0002567932,-0.0004871972,0.0000000000,-78.9517009854,-150.7993933136,0,0,0,0
2,-0.0001257160,-0.0004871294,0.0000000000,-38.6517062113,-150.7783974269,0,0,0,0
3,-0.0001257160,-0.0004871294,0.0000000000,-38.6517062113,-150.7783974269,0,0,0,0
4,-0.0001257279,-0.0004645140,0.0000000000,-38.6553531885,-143.7783988404,0,0,0,0
5,-0.0001257279,-0.0004645140,0.0000000000,-38.6553531885,-143.7783988404,0,0,0,0
6,-0.0001448028,-0.0004227945,0.0000000000,-44.5199631378,-130.8651784280,0,0,0,0
7,-0.0001448028,-0.0004227945,0.0000000000,-44.5199631378,-130.8651784280,0,0,0,0
8,-0.0001528069,-0.0004147538,0.0000000000,-46.9808387421,-128.3763857987,0,0,0,0
9,-0.0001528069,-0.0004147538,0.0000000000,-46.9808387421,-128.3763857987,0,0,0,0
10,-0.0001608109,-0.0004067131,0.0000000000,-49.4417153522,-125.8875931704,0,0,0,0
11,-0.0001608109,-0.0004067131,0.0000000000,-49.4417153522,-125.8875931704,0,0,0,0
12,-0.0002568051,-0.0004645819,0.0000000000,-78.9553478453,-143.7993947253,0,0,0,0
13,-0.0002568051,-0.0004645819,0.0000000000,-78.9553478453,-143.7993947253,0,0,0,0
14,-0.0002567991,-0.0004758896,0.0000000000,-78.9535249677,-147.2993934116,0,0,0,0
15,-0.0002567991,-0.0004758896,0.0000000000,-78.9535249677,-147.2993934116,0,0,0,0
16,-0.0002567932,-0.0004871972,0.0000000000,-78.9517009854,-150.7993933136,0,0,0,0
17,-0.0002567932,-0.0004871972,0.0000000000,-78.9517009854,-150.7993933136,0,0,0,0
18,-0.0002567932,-0.0004871972,0.0000000000,-78.9517009854,-150.7993933136,0,0,0,0
19,-0.0000241719,-0.0004870768,0.0000000000,-7.4317110460,-150.7621314208,0,0,0,0
20,0.0000347640,-0.0004870463,0.0000000000,10.6882862389,-150.7526920398,0,0,0,0
21,0.0000347640,-0.0004870463,0.0000000000,10.6882862389,-150.7526920398,0,0,0,0
22,0.0000347522,-0.0004644310,0.0000000000,10.6846397260,-143.7526923419,0,0,0,0
23,0.0000347522,-0.0004644310,0.0000000000,10.6846397260,-143.7526923419,0,0,0,0
24,0.0000164578,-0.0004351863,0.0000000000,5.0599962159,-134.7007694501,0,0,0,0
25,0.0000164578,-0.0004351863,0.0000000000,5.0599962159,-134.7007694501,0,0,0,0
26,-0.0000063096,-0.0004353026,0.0000000000,-1.9399111532,-134.7367632799,0,0,0,0
27,-0.0000063096,-0.0004353026,0.0000000000,-1.9399111532,-134.7367632799,0,0,0,0
28,-0.0000241838,-0.0004644615,0.0000000000,-7.4353576154,-143.7621328361,0,0,0,0
29,-0.0000241838,-0.0004644615,0.0000000000,-7.4353576154,-143.7621328361,0,0,0,0
30,-0.0000241778,-0.0004757691,0.0000000000,-7.4335348848,-147.2621326349,0,0,0,0
31,-0.0000241778,-0.0004757691,0.0000000000,-7.4335348848,-147.2621326349,0,0,0,0
32,-0.0000241719,-0.0004870768,0.0000000000,-7.4317110460,-150.7621314208,0,0,0,0
33,-0.0000241719,-0.0004870768,0.0000000000,-7.4317110460,-150.7621314208,0,0,0,0
34,-0.0000241719,-0.0004870768,0.0000000000,-7.4317110460,-150.7621314208,0,0,0,0
35,0.0002105917,0.0002503879,8.0000000000,64.7468184437,77.5010895016,0,0,0,0
36,0.0002756019,0.0002526701,8.0000000000,84.7343388493,78.2074958467,0,0,0,0
37,0.0002756019,0.0002526701,8.0000000000,84.7343388493,78.2074958467,0,0,0,0
38,0.0002751999,0.0002639707,8.0000000000,84.6107182343,81.7053117210,0,0,0,0
39,0.0002751999,0.0002639707,8.0000000000,84.6107182343,81.7053117210,0,0,0,0
40,0.0002747978,0.0002752713,8.0000000000,84.4870965196,85.2031286085,0,0,0,0
41,0.0002747978,0.0002752713,8.0000000000,84.4870965196,85.2031286085,0,0,0,0
42,0.0002558690,0.0003043912,8.0000000000,78.6673965558,94.2164185706,0,0,0,0
43,0.0002558690,0.0003043912,8.0000000000,78.6673965558,94.2164185706,0,0,0,0
44,0.0002331091,0.0003037956,8.0000000000,71.6698246614,94.0320700664,0,0,0,0
45,0.0002331091,0.0003037956,8.0000000000,71.6698246614,94.0320700664,0,0,0,0
46,0.0002097875,0.0002729891,8.0000000000,64.4995761610,84.4967223454,0,0,0,0
47,0.0002097875,0.0002729891,8.0000000000,64.4995761610,84.4967223454,0,0,0,0
48,0.0002101896,0.0002616885,8.0000000000,64.6231972987,80.9989054168,0,0,0,0
49,0.0002101896,0.0002616885,8.0000000000,64.6231972987,80.9989054168,0,0,0,0
50,0.0002105917,0.0002503879,8.0000000000,64.7468184437,77.5010895016,0,0,0,0
51,0.0002105917,0.0002503879,8.0000000000,64.7468184437,77.5010895016,0,0,0,0
52,0.0002105917,0.0002503879,8.0000000000,64.7468184437,77.5010895016,0,0,0,0
