x,y,z,yaw,velocity,change_flag
1.1435,-0.4007,-0.2271,-0.0784,5,0
2.1814,-0.3972,-0.2177,-0.0548,5.0,0
3.2121,-0.4482,-0.2363,-0.0971,5.0,0
4.2227,-0.5938,-0.2610,-0.3665,5.0,0
5.1357,-1.0799,-0.2021,-0.7240,5.0,0
5.8041,-1.9172,-0.2037,-1.0917,5.0,0
6.1339,-2.9019,-0.2338,-1.4605,5.0,0
6.1625,-4.0007,-0.2298,-1.7076,5.0,0
6.0595,-5.0010,-0.2255,-1.6835,5.0,0
5.9834,-6.0405,-0.2138,-1.6594,5.0,0
5.9381,-7.1094,-0.2136,-1.6368,5.0,0
5.8823,-8.1750,-0.2211,-1.6985,5.0,0
5.7488,-9.2955,-0.2335,-1.7546,5.0,0
5.5966,-10.3918,-0.2302,-1.7346,5.0,0
5.4487,-11.5269,-0.2386,-1.7048,5.0,0
5.3931,-12.5375,-0.2183,-1.6788,5.0,0
5.3001,-13.6028,-0.2479,-1.6539,5.0,0
5.3015,-14.6358,-0.2767,-1.6287,5.0,0
5.2785,-15.6608,-0.2508,-1.6013,5.0,0
5.2925,-16.7319,-0.2619,-1.5795,5.0,0
5.3092,-17.7387,-0.2697,-1.6025,5.0,0
5.3454,-18.7511,-0.2742,-1.5891,5.0,0
5.3341,-19.7924,-0.2595,-1.6236,5.0,0
5.3199,-20.8207,-0.2868,-1.6227,5.0,0
5.3180,-21.8978,-0.2935,-1.6201,5.0,0
5.2552,-22.9339,-0.3058,-1.6417,5.0,0
5.2393,-23.9453,-0.3291,-1.6236,5.0,0
5.2947,-24.9465,-0.3554,-1.3712,5.0,0
5.7182,-25.9204,-0.4070,-0.9292,5.0,0
6.5877,-26.5875,-0.3832,-0.4977,5.0,0
7.5550,-26.8925,-0.4064,-0.0883,5.0,0
8.6417,-26.8540,-0.3591,0.0233,5.0,0
9.6500,-26.7889,-0.3505,0.0498,5.0,0
10.6992,-26.7010,-0.3281,0.0359,5.0,0
