PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,5.58,73.54,-83.3,0,0,0,0
2,0,0,5.54,72.54,-83.33,0,0,0,0
3,0,0,5.5,71.55,-83.36,0,0,0,0
4,0,0,5.47,70.55,-83.39,0,0,0,0
5,0,0,5.43,69.55,-83.42,0,0,0,0
6,0,0,5.39,68.55,-83.45,0,0,0,0
7,0,0,5.36,67.55,-83.48,0,0,0,0
8,0,0,5.32,66.55,-83.51,0,0,0,0
9,0,0,5.29,65.55,-83.54,0,0,0,0
10,0,0,5.25,64.55,-83.57,0,0,0,0
11,0,0,5.21,63.55,-83.6,0,0,0,0
12,0,0,5.18,62.56,-83.63,0,0,0,0
13,0,0,5.14,61.56,-83.66,0,0,0,0
14,0,0,5.1,60.56,-83.69,0,0,0,0
15,0,0,5.07,59.56,-83.72,0,0,0,0
16,0,0,5.03,58.56,-83.75,0,0,0,0
17,0,0,5,57.56,-83.78,0,0,0,0
18,0,0,4.96,56.56,-83.81,0,0,0,0
19,0,0,4.92,55.56,-83.84,0,0,0,0
20,0,0,4.89,54.56,-83.87,0,0,0,0
21,0,0,4.85,53.57,-83.9,0,0,0,0
22,0,0,4.81,52.57,-83.93,0,0,0,0
23,0,0,4.78,51.57,-83.96,0,0,0,0
24,0,0,4.74,50.57,-83.99,0,0,0,0
25,0,0,4.7,49.57,-84.02,0,0,0,0
26,0,0,4.67,48.57,-84.05,0,0,0,0
27,0,0,4.63,47.57,-84.08,0,0,0,0
28,0,0,4.6,46.57,-84.11,0,0,0,0
29,0,0,4.56,45.57,-84.14,0,0,0,0
30,0,0,4.52,44.58,-84.17,0,0,0,0
31,0,0,4.49,43.58,-84.2,0,0,0,0
32,0,0,4.45,42.58,-84.23,0,0,0,0
33,0,0,4.41,41.58,-84.26,0,0,0,0
34,0,0,4.38,40.58,-84.29,0,0,0,0
35,0,0,4.34,39.58,-84.32,0,0,0,0
36,0,0,4.31,38.58,-84.35,0,0,0,0
37,0,0,4.27,37.58,-84.38,0,0,0,0
38,0,0,4.23,36.58,-84.41,0,0,0,0
39,0,0,4.2,35.59,-84.44,0,0,0,0
40,0,0,4.16,34.59,-84.47,0,0,0,0
41,0,0,4.12,33.59,-84.5,0,0,0,0
42,0,0,4.09,32.59,-84.54,0,0,0,0
43,0,0,4.05,31.59,-84.57,0,0,0,0
44,0,0,4.01,30.59,-84.6,0,0,0,0
45,0,0,3.98,29.59,-84.63,0,0,0,0
46,0,0,3.94,28.59,-84.66,0,0,0,0
47,0,0,3.91,27.59,-84.69,0,0,0,0
48,0,0,3.87,26.6,-84.72,0,0,0,0
49,0,0,3.83,25.6,-84.75,0,0,0,0
50,0,0,3.8,24.6,-84.78,0,0,0,0
51,0,0,3.76,23.6,-84.81,0,0,0,0
52,0,0,3.72,22.6,-84.84,0,0,0,0
53,0,0,3.69,21.6,-84.87,0,0,0,0
54,0,0,3.65,20.6,-84.9,0,0,0,0
55,0,0,3.61,19.6,-84.93,0,0,0,0
56,0,0,3.58,18.6,-84.96,0,0,0,0
57,0,0,3.54,17.61,-84.99,0,0,0,0
58,0,0,3.51,16.61,-85.02,0,0,0,0
59,0,0,3.47,15.61,-85.05,0,0,0,0
60,0,0,3.43,14.61,-85.08,0,0,0,0
61,0,0,3.4,13.61,-85.11,0,0,0,0
62,0,0,3.36,12.61,-85.14,0,0,0,0
63,0,0,3.32,11.61,-85.17,0,0,0,0
64,0,0,3.29,10.61,-85.2,0,0,0,0
65,0,0,3.25,9.61,-85.23,0,0,0,0
66,0,0,3.22,8.62,-85.26,0,0,0,0
67,0,0,3.18,7.62,-85.29,0,0,0,0
68,0,0,3.18,7.62,-85.29,0,0,0,0
69,0,0,3.14,6.62,-85.32,0,0,0,0
70,0,0,3.14,6.62,-85.32,0,0,0,0
71,0,0,3.11,5.62,-85.35,0,0,0,0
72,0,0,3.07,4.62,-85.38,0,0,0,0
73,0,0,3.03,3.62,-85.41,0,0,0,0
74,0,0,3,2.62,-85.44,0,0,0,0
75,0,0,3.01,1.62,-85.47,0,0,0,0
76,0,0,3.03,0.62,-85.5,0,0,0,0
77,0,0,3.05,-0.38,-85.53,0,0,0,0
78,0,0,3.06,-1.38,-85.56,0,0,0,0
79,0,0,3.08,-2.37,-85.59,0,0,0,0
80,0,0,3.1,-3.37,-85.62,0,0,0,0
81,0,0,3.11,-4.37,-85.65,0,0,0,0
82,0,0,3.13,-5.37,-85.68,0,0,0,0
83,0,0,3.14,-6.37,-85.71,0,0,0,0
84,0,0,3.16,-7.37,-85.74,0,0,0,0
85,0,0,3.18,-8.37,-85.77,0,0,0,0
86,0,0,3.19,-9.37,-85.8,0,0,0,0
87,0,0,3.21,-10.37,-85.83,0,0,0,0
88,0,0,3.23,-11.37,-85.86,0,0,0,0
89,0,0,3.24,-12.37,-85.89,0,0,0,0
90,0,0,3.26,-13.37,-85.92,0,0,0,0
91,0,0,3.27,-14.37,-85.95,0,0,0,0
92,0,0,3.29,-15.37,-85.98,0,0,0,0
93,0,0,3.31,-16.37,-86.01,0,0,0,0
94,0,0,3.32,-17.37,-86.04,0,0,0,0
95,0,0,3.34,-18.37,-86.07,0,0,0,0
96,0,0,3.36,-19.36,-86.1,0,0,0,0
97,0,0,3.37,-20.36,-86.13,0,0,0,0
98,0,0,3.39,-21.36,-86.16,0,0,0,0
