DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,0,0,0,0,0,0,0
2,1,2,0,0,0,0,0,0,0
3,2,3,0,0,0,0,0,0,0
4,2.56,4,0,0,0,0,0,0,0
5,3.56,5,0,0,0,0,0,0,0
6,4.56,6,0,0,0,0,0,0,0
7,5.56,7,0,0,0,0,0,0,0
8,6.56,8,0,0,0,0,0,0,0
9,7.56,9,0,0,0,0,0,0,0
10,8.55,10,0,0,0,0,0,0,0
11,9.55,11,0,0,0,0,0,0,0
12,10.55,12,0,0,0,0,0,0,0
13,11.55,13,0,0,0,0,0,0,0
14,12.55,14,0,0,0,0,0,0,0
15,13.55,15,0,0,0,0,0,0,0
16,14.55,16,0,0,0,0,0,0,0
17,15.55,17,0,0,0,0,0,0,0
18,16.55,18,0,0,0,0,0,0,0
19,17.55,19,0,0,0,0,0,0,0
20,18.55,20,0,0,0,0,0,0,0
21,19.55,21,0,0,0,0,0,0,0
22,20.55,22,0,0,0,0,0,0,0
23,21.55,23,0,0,0,0,0,0,0
24,22.55,24,0,0,0,0,0,0,0
25,23.55,25,0,0,0,0,0,0,0
26,24.55,26,0,0,0,0,0,0,0
27,25.55,27,0,0,0,0,0,0,0
28,26.55,28,0,0,0,0,0,0,0
29,27.55,29,0,0,0,0,0,0,0
30,28.55,30,0,0,0,0,0,0,0
31,29.55,31,0,0,0,0,0,0,0
32,30.55,32,0,0,0,0,0,0,0
33,31.55,33,0,0,0,0,0,0,0
34,32.55,34,0,0,0,0,0,0,0
35,33.55,35,0,0,0,0,0,0,0
36,34.55,36,0,0,0,0,0,0,0
37,35.55,37,0,0,0,0,0,0,0
38,36.55,38,0,0,0,0,0,0,0
39,37.55,39,0,0,0,0,0,0,0
40,38.55,40,0,0,0,0,0,0,0
41,39.55,41,0,0,0,0,0,0,0
42,40.55,42,0,0,0,0,0,0,0
43,41.55,43,0,0,0,0,0,0,0
44,42.55,44,0,0,0,0,0,0,0
45,43.55,45,0,0,0,0,0,0,0
46,44.55,46,0,0,0,0,0,0,0
47,45.55,47,0,0,0,0,0,0,0
48,46.55,48,0,0,0,0,0,0,0
49,47.55,49,0,0,0,0,0,0,0
50,48.55,50,0,0,0,0,0,0,0
51,49.55,51,0,0,0,0,0,0,0
52,50.55,52,0,0,0,0,0,0,0
53,51.55,53,0,0,0,0,0,0,0
54,52.55,54,0,0,0,0,0,0,0
55,53.55,55,0,0,0,0,0,0,0
56,54.55,56,0,0,0,0,0,0,0
57,55.55,57,0,0,0,0,0,0,0
58,56.55,58,0,0,0,0,0,0,0
59,57.55,59,0,0,0,0,0,0,0
60,58.55,60,0,0,0,0,0,0,0
