PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,-1.71,6.35,11.01,0,0,0,0
2,0,0,-1.72,5.97,10.09,0,0,0,0
3,0,0,-1.73,5.6,9.16,0,0,0,0
4,0,0,-1.73,5.39,8.64,0,0,0,0
5,0,0,-1.73,5.02,7.71,0,0,0,0
6,0,0,-1.73,4.66,6.78,0,0,0,0
7,0,0,-1.74,4.29,5.85,0,0,0,0
8,0,0,-1.74,3.92,4.92,0,0,0,0
9,0,0,-1.74,3.55,3.99,0,0,0,0
10,0,0,-1.74,3.18,3.07,0,0,0,0
11,0,0,-1.74,2.82,2.14,0,0,0,0
12,0,0,-1.74,2.45,1.21,0,0,0,0
13,0,0,-1.74,2.08,0.28,0,0,0,0
14,0,0,-1.75,1.71,-0.65,0,0,0,0
15,0,0,-1.75,1.35,-1.58,0,0,0,0
16,0,0,-1.75,0.98,-2.51,0,0,0,0
17,0,0,-1.75,0.61,-3.44,0,0,0,0
18,0,0,-1.75,0.24,-4.37,0,0,0,0
19,0,0,-1.75,-0.13,-5.3,0,0,0,0
20,0,0,-1.76,-0.49,-6.23,0,0,0,0
21,0,0,-1.76,-0.86,-7.16,0,0,0,0
22,0,0,-1.76,-1.23,-8.09,0,0,0,0
23,0,0,-1.76,-1.6,-9.02,0,0,0,0
24,0,0,-1.76,-1.96,-9.95,0,0,0,0
25,0,0,-1.76,-2.33,-10.88,0,0,0,0
26,0,0,-1.77,-2.7,-11.81,0,0,0,0
27,0,0,-1.77,-3.07,-12.74,0,0,0,0
28,0,0,-1.77,-3.44,-13.67,0,0,0,0
29,0,0,-1.77,-3.8,-14.6,0,0,0,0
30,0,0,-1.77,-4.17,-15.53,0,0,0,0
31,0,0,-1.77,-4.54,-16.46,0,0,0,0
32,0,0,-1.77,-4.91,-17.39,0,0,0,0
33,0,0,-1.78,-5.27,-18.32,0,0,0,0
34,0,0,-1.78,-5.64,-19.25,0,0,0,0
35,0,0,-1.78,-6.01,-20.18,0,0,0,0
36,0,0,-1.78,-6.38,-21.11,0,0,0,0
37,0,0,-1.78,-6.75,-22.04,0,0,0,0
38,0,0,-1.78,-7.11,-22.97,0,0,0,0
39,0,0,-1.79,-7.48,-23.9,0,0,0,0
40,0,0,-1.79,-7.85,-24.83,0,0,0,0
41,0,0,-1.79,-8.22,-25.76,0,0,0,0
42,0,0,-1.79,-8.59,-26.69,0,0,0,0
43,0,0,-1.79,-8.95,-27.62,0,0,0,0
44,0,0,-1.79,-9.32,-28.55,0,0,0,0
45,0,0,-1.8,-9.69,-29.48,0,0,0,0
46,0,0,-1.8,-10.06,-30.41,0,0,0,0
47,0,0,-1.8,-10.42,-31.34,0,0,0,0
48,0,0,-1.8,-10.79,-32.27,0,0,0,0
49,0,0,-1.8,-11.16,-33.2,0,0,0,0
50,0,0,-1.8,-11.53,-34.13,0,0,0,0
51,0,0,-1.8,-11.9,-35.06,0,0,0,0
52,0,0,-1.81,-12.26,-35.99,0,0,0,0
