PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,0,-19.46,44.44,0,0,0,0
2,0,0,0,-19.19,45.4,0,0,0,0
3,0,0,0,-18.9,46.37,0,0,0,0
4,0,0,0,-18.61,47.31,0,0,0,0
5,0,0,0,-18.32,48.27,0,0,0,0
6,0,0,0,-18.01,49.22,0,0,0,0
7,0,0,0,-17.7,50.17,0,0,0,0
8,0,0,0,-17.39,51.13,0,0,0,0
9,0,0,0,-17.07,52.07,0,0,0,0
10,0,0,0,-16.76,53.02,0,0,0,0
11,0,0,0,-16.44,53.97,0,0,0,0
12,0,0,0,-16.12,54.92,0,0,0,0
13,0,0,0,-15.8,55.87,0,0,0,0
14,0,0,0,-15.47,56.81,0,0,0,0
15,0,0,0,-15.15,57.76,0,0,0,0
16,0,0,0,-14.83,58.71,0,0,0,0
17,0,0,0,-14.5,59.65,0,0,0,0
18,0,0,0,-14.17,60.59,0,0,0,0
19,0,0,0,-13.85,61.54,0,0,0,0
20,0,0,0,-13.52,62.49,0,0,0,0
21,0,0,0,-13.22,63.44,0,0,0,0
22,0,0,0,-12.83,64.35,0,0,0,0
23,0,0,0,-12.33,65.22,0,0,0,0
24,0,0,0,-11.74,66.03,0,0,0,0
25,0,0,0,-11.09,66.79,0,0,0,0
26,0,0,0,-10.36,67.48,0,0,0,0
27,0,0,0,-9.57,68.09,0,0,0,0
28,0,0,0,-8.73,68.64,0,0,0,0
29,0,0,0,-7.84,69.09,0,0,0,0
30,0,0,0,-6.92,69.47,0,0,0,0
31,0,0,0,-5.95,69.76,0,0,0,0
32,0,0,0,-4.97,69.94,0,0,0,0
33,0,0,0,-3.98,70.03,0,0,0,0
34,0,0,0,-2.98,70,0,0,0,0
35,0,0,0,-1.99,69.88,0,0,0,0
36,0,0,0,-1.01,69.65,0,0,0,0
37,0,0,0,-0.07,69.32,0,0,0,0
38,0,0,0,0.21,69.2,0,0,0,0
39,0,0,0,-35.3,-7.7,0,0,0,0
40,0,0,0,-35.98,-6.97,0,0,0,0
41,0,0,0,-36.59,-6.17,0,0,0,0
42,0,0,0,-37.12,-5.32,0,0,0,0
43,0,0,0,-37.51,-4.4,0,0,0,0
44,0,0,0,-37.8,-3.45,0,0,0,0
45,0,0,0,-37.94,-2.46,0,0,0,0
46,0,0,0,-37.97,-1.46,0,0,0,0
47,0,0,0,-37.89,-0.45,0,0,0,0
48,0,0,0,-37.74,0.53,0,0,0,0
49,0,0,0,-37.52,1.51,0,0,0,0
50,0,0,0,-37.24,2.47,0,0,0,0
51,0,0,0,-36.94,3.42,0,0,0,0
52,0,0,0,-36.61,4.37,0,0,0,0
53,0,0,0,-36.27,5.31,0,0,0,0
54,0,0,0,-35.92,6.25,0,0,0,0
55,0,0,0,-35.57,7.18,0,0,0,0
56,0,0,0,-35.24,8.13,0,0,0,0
57,0,0,0,-34.91,9.07,0,0,0,0
58,0,0,0,-34.61,10.03,0,0,0,0
59,0,0,0,-34.33,10.98,0,0,0,0
60,0,0,0,-34.08,11.95,0,0,0,0
61,0,0,0,-33.87,12.93,0,0,0,0
62,0,0,0,-33.76,13.57,0,0,0,0
63,0,0,0,-33.36,14.49,0,0,0,0
64,0,0,0,-32.96,15.4,0,0,0,0
65,0,0,0,-32.56,16.32,0,0,0,0
66,0,0,0,-32.17,17.23,0,0,0,0
67,0,0,0,-31.77,18.15,0,0,0,0
68,0,0,0,-31.37,19.07,0,0,0,0
69,0,0,0,-30.97,19.99,0,0,0,0
70,0,0,0,-30.58,20.9,0,0,0,0
71,0,0,0,-30.18,21.82,0,0,0,0
72,0,0,0,-29.78,22.74,0,0,0,0
73,0,0,0,-29.37,23.66,0,0,0,0
74,0,0,0,-28.97,24.58,0,0,0,0
75,0,0,0,-28.58,25.48,0,0,0,0
76,0,0,0,-28.18,26.4,0,0,0,0
77,0,0,0,-27.78,27.32,0,0,0,0
78,0,0,0,-27.68,27.57,0,0,0,0
79,0,0,0,-27.43,28.55,0,0,0,0
80,0,0,0,-27.22,29.52,0,0,0,0
81,0,0,0,-27.04,30.5,0,0,0,0
82,0,0,0,-26.91,31.5,0,0,0,0
83,0,0,0,-26.82,32.49,0,0,0,0
84,0,0,0,-26.78,33.49,0,0,0,0
85,0,0,0,-26.79,34.49,0,0,0,0
86,0,0,0,-26.85,35.49,0,0,0,0
87,0,0,0,-26.97,36.48,0,0,0,0
88,0,0,0,-27.14,37.47,0,0,0,0
89,0,0,0,-27.39,38.44,0,0,0,0
90,0,0,0,-27.68,39.39,0,0,0,0
91,0,0,0,-28.04,40.33,0,0,0,0
92,0,0,0,-28.45,41.23,0,0,0,0
93,0,0,0,-28.92,42.12,0,0,0,0
94,0,0,0,-29.44,42.97,0,0,0,0
95,0,0,0,-30.01,43.79,0,0,0,0
96,0,0,0,-30.63,44.59,0,0,0,0
97,0,0,0,-31.28,45.35,0,0,0,0
98,0,0,0,-31.96,46.06,0,0,0,0
99,0,0,0,-32.69,46.76,0,0,0,0
100,0,0,0,-33.44,47.43,0,0,0,0
101,0,0,0,-34.21,48.06,0,0,0,0
102,0,0,0,-35,48.67,0,0,0,0
103,0,0,0,-35.81,49.26,0,0,0,0
104,0,0,0,-36.63,49.82,0,0,0,0
105,0,0,0,-37.47,50.37,0,0,0,0
106,0,0,0,-38.33,50.89,0,0,0,0
107,0,0,0,-39.19,51.4,0,0,0,0
