LnID,DID,BLID,FLID,BNID,FNID,JCT,BLID2,BLID3,BLID4,FLID2,FLID3,FLID4,ClossID,Span,LCnt,Lno,LaneType,LimitVel,RefVel,RoadSecID,LaneChgFG
1,1,88432,2,0,1,0,88466,0,0,0,0,0,0,1,2,1,0,11,11,0,0
2,2,1,3,1,2,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
3,3,2,4,2,3,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
4,4,3,5,3,4,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
5,5,4,6,4,5,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
6,6,5,7,5,6,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
7,7,6,8,6,7,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
8,8,7,9,7,8,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
9,9,8,10,8,9,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
10,10,9,11,9,10,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
11,11,10,12,10,11,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
12,12,11,13,11,12,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
13,13,12,14,12,13,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
14,14,13,15,13,14,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
15,15,14,16,14,15,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
16,16,15,17,15,16,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
17,17,16,18,16,17,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
18,18,17,19,17,18,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
19,19,18,20,18,19,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
20,20,19,21,19,20,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
21,21,20,22,20,21,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
22,22,21,23,21,22,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
23,23,22,24,22,23,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
24,24,23,25,23,24,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
25,25,24,26,24,25,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
26,26,25,27,25,26,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
27,27,26,28,26,27,0,0,0,0,0,0,0,0,1,2,1,0,11,11,0,0
28,28,27,109916,27,28,1,0,0,0,110047,0,0,0,1,2,1,0,11,11,0,0
29,29,110256,30,28,29,0,110452,0,0,0,0,0,0,1,2,2,0,11,11,0,0
30,30,29,31,29,30,0,0,0,0,0,0,0,0,1,2,2,0,11,11,0,0
31,31,30,32,30,31,0,0,0,0,0,0,0,0,1,2,2,0,11,11,0,0
32,32,31,33,31,32,0,0,0,0,0,0,0,0,1,2,2,0,11,11,0,0
33,33,32,34,32,33,0,0,0,0,0,0,0,0,1,2,2,0,11,11,0,0
34,34,33,35,33,34,0,0,0,0,0,0,0,0,1,2,2,0,11,11,0,0
35,35,34,36,34,35,0,0,0,0,0,0,0,0,1,2,2,0,11,11,0,0
36,36,35,37,35,36,0,0,0,0,0,0,0,0,1,2,2,0,11,11,0,0
37,37,36,38,36,37,0,0,0,0,0,0,0,0,1,2,2,0,11,11,0,0
38,38,37,39,37,38,0,0,0,0,0,0,0,0,1,2,2,0,11,11,0,0
39,39,38,40,38,39,0,0,0,0,0,0,0,0,1,2,2,0,11,11,0,0
40,40,39,41,39,40,0,0,0,0,0,0,0,0,1,2,2,0,11,11,0,0
41,41,40,42,40,41,0,0,0,0,0,0,0,0,1,2,2,0,11,11,0,0
42,42,41,43,41,42,0,0,0,0,0,0,0,0,1,2,2,0,11,11,0,0
43,43,42,44,42,43,0,0,0,0,0,0,0,0,1,2,2,0,11,11,0,0
44,44,43,45,43,44,0,0,0,0,0,0,0,0,1,2,2,0,11,11,0,0
45,45,44,46,44,45,0,0,0,0,0,0,0,0,1,2,2,0,11,11,0,0
46,46,45,47,45,46,0,0,0,0,0,0,0,0,1,2,2,0,11,11,0,0
47,47,46,48,46,47,0,0,0,0,0,0,0,0,1,2,2,0,11,11,0,0
