PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,10.2076635360718,234.119491577148,593.011108398438,7,0,0,0
2,0,0,10.2076635360718,233.717864990234,592.095275878906,7,0,0,0
3,0,0,10.2076635360718,233.31623840332,591.179443359375,7,0,0,0
4,0,0,10.2076635360718,232.914596557617,590.263671875,7,0,0,0
5,0,0,10.2076635360718,232.501724243164,589.35302734375,7,0,0,0
6,0,0,10.2076635360718,232.072906494141,588.449645996094,7,0,0,0
7,0,0,10.2076635360718,231.644088745117,587.546264648438,7,0,0,0
8,0,0,10.2076644897461,231.215270996094,586.642883300781,7,0,0,0
9,0,0,10.2076644897461,230.775817871094,585.745422363281,7,0,0,0
10,0,0,10.2076644897461,230.233856201172,584.905029296875,7,0,0,0
11,0,0,10.2076644897461,229.691909790039,584.064636230469,7,0,0,0
12,0,0,10.2076644897461,229.149963378906,583.224243164063,7,0,0,0
13,0,0,10.2076635360718,228.608016967773,582.383850097656,7,0,0,0
14,0,0,10.2076635360718,228.029647827148,581.568908691406,7,0,0,0
15,0,0,10.2076635360718,227.426513671875,580.771240234375,7,0,0,0
16,0,0,10.2076635360718,226.823379516602,579.973571777344,7,0,0,0
17,0,0,10.2076635360718,226.220245361328,579.175903320313,7,0,0,0
18,0,0,10.2076635360718,225.617095947266,578.378295898438,7,0,0,0
19,0,0,10.2076635360718,224.914108276367,577.669982910156,7,0,0,0
20,0,0,10.2076635360718,224.188049316406,576.982360839844,7,0,0,0
21,0,0,10.2076635360718,223.461990356445,576.294738769531,7,0,0,0
22,0,0,10.2076635360718,222.735931396484,575.607116699219,7,0,0,0
23,0,0,10.2076635360718,222.009017944336,574.92041015625,7,0,0,0
24,0,0,10.2076616287231,221.252334594727,574.2666015625,7,0,0,0
25,0,0,10.2076597213745,220.495651245117,573.612854003906,7,0,0,0
26,0,0,10.2076578140259,219.738967895508,572.959045410156,7,0,0,0
27,0,0,10.2076559066772,218.982269287109,572.305297851563,7,0,0,0
28,0,0,10.2076549530029,218.660308837891,572.027099609375,7,0,0,0
29,0,0,10.2076635360718,218.369232177734,583.317199707031,7,0,0,0
30,0,0,10.2076635360718,218.976974487305,584.111328125,7,0,0,0
31,0,0,10.2076635360718,219.584716796875,584.905456542969,7,0,0,0
32,0,0,10.2076635360718,220.192443847656,585.699584960938,7,0,0,0
33,0,0,10.2076635360718,220.800170898438,586.493713378906,7,0,0,0
34,0,0,10.2076635360718,221.407897949219,587.287841796875,7,0,0,0
35,0,0,10.2076635360718,222.015625,588.081970214844,7,0,0,0
36,0,0,10.2076635360718,222.606750488281,588.887817382813,7,0,0,0
37,0,0,10.2076635360718,223.152404785156,589.725830078125,7,0,0,0
38,0,0,10.2076635360718,223.698059082031,590.563842773438,7,0,0,0
39,0,0,10.2076635360718,224.243713378906,591.40185546875,7,0,0,0
40,0,0,10.2076635360718,224.78938293457,592.239868164063,7,0,0,0
41,0,0,10.2076635360718,225.335037231445,593.077880859375,7,0,0,0
42,0,0,10.2076635360718,225.880706787109,593.915893554688,7,0,0,0
43,0,0,10.2076635360718,226.305465698242,594.818359375,7,0,0,0
44,0,0,10.2076635360718,226.697402954102,595.738342285156,7,0,0,0
45,0,0,10.2076635360718,227.089340209961,596.658325195313,7,0,0,0
46,0,0,10.2076635360718,227.48127746582,597.578308105469,7,0,0,0
47,0,0,10.2076635360718,227.87321472168,598.498291015625,7,0,0,0
48,0,0,10.2076635360718,228.265151977539,599.418273925781,7,0,0,0
49,0,0,10.2076635360718,228.657089233398,600.338256835938,7,0,0,0
50,0,0,10.2076635360718,229.049026489258,601.258239746094,7,0,0,0
51,0,0,10.2076635360718,229.05110168457,601.263122558594,7,0,0,0
52,0,0,10.2076635360718,218.224029541016,588.626953125,7,0,0,0
53,0,0,10.2076635360718,218.771240234375,589.463928222656,7,0,0,0
54,0,0,10.2076635360718,219.318435668945,590.300903320313,7,0,0,0
55,0,0,10.2076635360718,219.865631103516,591.137939453125,7,0,0,0
56,0,0,10.2076635360718,220.412841796875,591.974914550781,7,0,0,0
57,0,0,10.2076635360718,220.882217407227,592.856140136719,7,0,0,0
58,0,0,10.2076635360718,221.320678710938,593.7548828125,7,0,0,0
59,0,0,10.2076635360718,221.759124755859,594.653625488281,7,0,0,0
60,0,0,10.2076635360718,222.197570800781,595.552368164063,7,0,0,0
61,0,0,10.2076635360718,222.626022338867,596.455871582031,7,0,0,0
62,0,0,10.2076635360718,223.041244506836,597.365600585938,7,0,0,0
63,0,0,10.2076635360718,223.456466674805,598.275329589844,7,0,0,0
64,0,0,10.2076635360718,223.871688842773,599.18505859375,7,0,0,0
65,0,0,10.2076635360718,224.286911010742,600.094787597656,7,0,0,0
66,0,0,10.2076635360718,224.7021484375,601.004516601563,7,0,0,0
67,0,0,10.2076635360718,225.117385864258,601.914245605469,7,0,0,0
68,0,0,10.2076635360718,225.532623291016,602.823974609375,7,0,0,0
69,0,0,10.2076635360718,225.947860717773,603.733703613281,7,0,0,0
70,0,0,10.2076635360718,226.363098144531,604.643432617188,7,0,0,0
71,0,0,10.2076635360718,226.778335571289,605.553161621094,7,0,0,0
72,0,0,10.2076635360718,227.262954711914,606.426513671875,7,0,0,0
73,0,0,10.2076635360718,227.774139404297,607.286010742188,7,0,0,0
74,0,0,10.2076635360718,228.28532409668,608.1455078125,7,0,0,0
75,0,0,10.2076635360718,228.796508789063,609.005004882813,7,0,0,0
76,0,0,10.2076635360718,229.307693481445,609.864501953125,7,0,0,0
77,0,0,10.2076635360718,229.818908691406,610.723937988281,7,0,0,0
78,0,0,10.2076635360718,230.442947387695,611.503479003906,7,0,0,0
79,0,0,10.2076635360718,231.084182739258,612.270812988281,7,0,0,0
80,0,0,10.2076635360718,231.72541809082,613.038146972656,7,0,0,0
81,0,0,10.2076635360718,232.366638183594,613.805480957031,7,0,0,0
82,0,0,10.2076635360718,233.021240234375,614.560668945313,7,0,0,0
83,0,0,10.2076635360718,233.724014282227,615.272094726563,7,0,0,0
84,0,0,10.2076635360718,234.426788330078,615.983520507813,7,0,0,0
85,0,0,10.2076635360718,235.129577636719,616.694946289063,7,0,0,0
86,0,0,10.2076635360718,235.832366943359,617.406372070313,7,0,0,0
87,0,0,10.2076635360718,236.53515625,618.117797851563,7,0,0,0
88,0,0,10.2076635360718,237.237945556641,618.829223632813,7,0,0,0
89,0,0,10.2076635360718,237.940734863281,619.540649414063,7,0,0,0
90,0,0,10.2076635360718,238.643524169922,620.252075195313,7,0,0,0
91,0,0,10.2076635360718,239.346313476563,620.963439941406,7,0,0,0
92,0,0,10.2076635360718,240.049102783203,621.674865722656,7,0,0,0
93,0,0,10.2076635360718,240.751907348633,622.38623046875,7,0,0,0
94,0,0,10.2076635360718,241.458251953125,623.093811035156,7,0,0,0
95,0,0,10.2076635360718,242.214050292969,623.748596191406,7,0,0,0
96,0,0,10.2076635360718,242.969848632813,624.403381347656,7,0,0,0
97,0,0,10.2076635360718,243.725646972656,625.058166503906,7,0,0,0
98,0,0,10.2076635360718,244.4814453125,625.712951660156,7,0,0,0
99,0,0,10.2076635360718,245.237243652344,626.367736816406,7,0,0,0
100,0,0,10.2076635360718,245.993041992188,627.022521972656,7,0,0,0
101,0,0,10.2076635360718,246.748825073242,627.677368164063,7,0,0,0
102,0,0,10.2076635360718,247.504623413086,628.332153320313,7,0,0,0
103,0,0,10.2076635360718,248.260406494141,628.986999511719,7,0,0,0
104,0,0,10.2076635360718,249.016204833984,629.641784667969,7,0,0,0
105,0,0,10.2076635360718,249.510375976563,630.069946289063,7,0,0,0
106,0,0,10.2076635360718,308.422607421875,162.630523681641,7,0,0,0
107,0,0,10.2076635360718,307.85498046875,163.453811645508,7,0,0,0
108,0,0,10.2076635360718,307.287353515625,164.277099609375,7,0,0,0
109,0,0,10.2076635360718,306.7197265625,165.100387573242,7,0,0,0
110,0,0,10.2076635360718,306.152099609375,165.923675537109,7,0,0,0
111,0,0,10.2076635360718,305.58447265625,166.746963500977,7,0,0,0
112,0,0,10.2076635360718,305.016845703125,167.570251464844,7,0,0,0
113,0,0,10.2076635360718,304.44921875,168.393539428711,7,0,0,0
114,0,0,10.2076635360718,303.881591796875,169.216827392578,7,0,0,0
115,0,0,10.2076635360718,303.31396484375,170.040115356445,7,0,0,0
116,0,0,10.2076635360718,302.746337890625,170.863403320313,7,0,0,0
117,0,0,10.2076635360718,302.1787109375,171.68669128418,7,0,0,0
118,0,0,10.2076635360718,301.611083984375,172.509979248047,7,0,0,0
119,0,0,10.2076635360718,301.04345703125,173.333267211914,7,0,0,0
120,0,0,10.2076635360718,300.475830078125,174.156555175781,7,0,0,0
121,0,0,10.2076635360718,299.908203125,174.979843139648,7,0,0,0
122,0,0,10.2076635360718,299.340576171875,175.803131103516,7,0,0,0
123,0,0,10.2076635360718,298.77294921875,176.626419067383,7,0,0,0
124,0,0,10.2076635360718,298.205322265625,177.44970703125,7,0,0,0
125,0,0,10.2076635360718,297.6376953125,178.272994995117,7,0,0,0
126,0,0,10.2076635360718,297.070068359375,179.096282958984,7,0,0,0
127,0,0,10.2076635360718,296.50244140625,179.919570922852,7,0,0,0
128,0,0,10.2076635360718,295.934814453125,180.742858886719,7,0,0,0
129,0,0,10.2076635360718,295.3671875,181.566146850586,7,0,0,0
130,0,0,10.2076635360718,294.799560546875,182.389434814453,7,0,0,0
131,0,0,10.2076635360718,294.23193359375,183.212707519531,7,0,0,0
132,0,0,10.2076635360718,293.664306640625,184.035980224609,7,0,0,0
133,0,0,10.2076635360718,293.0966796875,184.859252929688,7,0,0,0
134,0,0,10.2076635360718,292.529052734375,185.682525634766,7,0,0,0
135,0,0,10.2076635360718,291.96142578125,186.505798339844,7,0,0,0
136,0,0,10.2076635360718,291.393798828125,187.329071044922,7,0,0,0
137,0,0,10.2076635360718,290.826171875,188.15234375,7,0,0,0
138,0,0,10.2076635360718,290.258544921875,188.975616455078,7,0,0,0
139,0,0,10.2076635360718,289.69091796875,189.798889160156,7,0,0,0
140,0,0,10.2076635360718,289.123291015625,190.622161865234,7,0,0,0
141,0,0,10.2076635360718,288.5556640625,191.445434570313,7,0,0,0
142,0,0,10.2076635360718,287.988037109375,192.268707275391,7,0,0,0
143,0,0,10.2076635360718,287.42041015625,193.091979980469,7,0,0,0
144,0,0,10.2076635360718,286.852783203125,193.915252685547,7,0,0,0
145,0,0,10.2076635360718,286.28515625,194.738525390625,7,0,0,0
146,0,0,10.2076635360718,285.717529296875,195.561798095703,7,0,0,0
147,0,0,10.2076635360718,285.14990234375,196.385070800781,7,0,0,0
148,0,0,10.2076635360718,284.582275390625,197.208343505859,7,0,0,0
149,0,0,10.2076635360718,284.0146484375,198.031616210938,7,0,0,0
150,0,0,10.2076635360718,283.446990966797,198.854888916016,7,0,0,0
151,0,0,10.2076635360718,282.879364013672,199.678161621094,7,0,0,0
152,0,0,10.2076635360718,282.311706542969,200.501434326172,7,0,0,0
153,0,0,10.2076635360718,281.744079589844,201.32470703125,7,0,0,0
154,0,0,10.2076635360718,281.173553466797,202.145919799805,7,0,0,0
155,0,0,10.2076635360718,280.578704833984,202.949768066406,7,0,0,0
156,0,0,10.2076635360718,279.983856201172,203.753616333008,7,0,0,0
157,0,0,10.2076635360718,279.389007568359,204.557464599609,7,0,0,0
158,0,0,10.2076635360718,278.794189453125,205.361312866211,7,0,0,0
159,0,0,10.2076635360718,278.199340820313,206.165161132813,7,0,0,0
160,0,0,10.2076635360718,277.604522705078,206.969009399414,7,0,0,0
161,0,0,10.2076635360718,277.009674072266,207.772857666016,7,0,0,0
162,0,0,10.2076635360718,276.414855957031,208.576705932617,7,0,0,0
163,0,0,10.2076635360718,275.820007324219,209.380554199219,7,0,0,0
164,0,0,10.2076635360718,275.225189208984,210.18440246582,7,0,0,0
165,0,0,10.2076635360718,274.63037109375,210.988250732422,7,0,0,0
166,0,0,10.2076635360718,274.035522460938,211.792098999023,7,0,0,0
167,0,0,10.2076635360718,273.440704345703,212.595947265625,7,0,0,0
168,0,0,10.2076635360718,272.845855712891,213.399795532227,7,0,0,0
169,0,0,10.2076635360718,272.248352050781,214.201477050781,7,0,0,0
170,0,0,10.2076616287231,271.585266113281,214.950012207031,7,0,0,0
171,0,0,10.2076597213745,270.922180175781,215.698547363281,7,0,0,0
172,0,0,10.2076578140259,270.259094238281,216.447082519531,7,0,0,0
173,0,0,10.2076559066772,269.596008300781,217.195617675781,7,0,0,0
174,0,0,10.2076539993286,268.932922363281,217.944152832031,7,0,0,0
175,0,0,10.2076530456543,268.269836425781,218.692687988281,7,0,0,0
176,0,0,10.2076511383057,267.606750488281,219.441223144531,7,0,0,0
177,0,0,10.2076501846313,266.943664550781,220.189758300781,7,0,0,0
178,0,0,10.2076482772827,266.280578613281,220.938293457031,7,0,0,0
179,0,0,10.2076473236084,265.617492675781,221.686828613281,7,0,0,0
180,0,0,10.2076454162598,264.954406738281,222.435363769531,7,0,0,0
181,0,0,10.2076444625854,264.291320800781,223.18391418457,7,0,0,0
182,0,0,10.2076425552368,263.628234863281,223.93244934082,7,0,0,0
183,0,0,10.2076416015625,262.965148925781,224.680999755859,7,0,0,0
184,0,0,10.2076396942139,262.302062988281,225.429534912109,7,0,0,0
185,0,0,10.2076396942139,261.600067138672,226.136810302734,7,0,0,0
186,0,0,10.2076416015625,260.813812255859,226.75471496582,7,0,0,0
187,0,0,10.2076435089111,260.027557373047,227.372619628906,7,0,0,0
188,0,0,10.2076454162598,259.241302490234,227.990524291992,7,0,0,0
189,0,0,10.2076473236084,258.455047607422,228.608428955078,7,0,0,0
190,0,0,10.207649230957,257.668792724609,229.226333618164,7,0,0,0
191,0,0,10.2076511383057,256.882537841797,229.84423828125,7,0,0,0
192,0,0,10.20765209198,256.096282958984,230.462142944336,7,0,0,0
193,0,0,10.2076539993286,255.310028076172,231.080047607422,7,0,0,0
194,0,0,10.2076549530029,254.523788452148,231.697952270508,7,0,0,0
195,0,0,10.2076568603516,253.737548828125,232.315872192383,7,0,0,0
196,0,0,10.2076578140259,252.951293945313,232.933776855469,7,0,0,0
197,0,0,10.2076597213745,252.165054321289,233.551696777344,7,0,0,0
198,0,0,10.2076606750488,251.378799438477,234.16960144043,7,0,0,0
199,0,0,10.2076625823975,250.592559814453,234.787521362305,7,0,0,0
200,0,0,10.2076635360718,249.806304931641,235.405426025391,7,0,0,0
201,0,0,10.2076644897461,248.994735717773,235.987457275391,7,0,0,0
202,0,0,10.2076644897461,248.148956298828,236.52099609375,7,0,0,0
203,0,0,10.2076644897461,247.303176879883,237.054534912109,7,0,0,0
204,0,0,10.2076644897461,246.457397460938,237.588073730469,7,0,0,0
205,0,0,10.2076644897461,245.611618041992,238.121612548828,7,0,0,0
206,0,0,10.2076644897461,244.765838623047,238.655151367188,7,0,0,0
207,0,0,10.2076644897461,243.920059204102,239.188690185547,7,0,0,0
208,0,0,10.2076644897461,243.074279785156,239.722229003906,7,0,0,0
209,0,0,10.2076644897461,242.228500366211,240.255767822266,7,0,0,0
210,0,0,10.2076635360718,241.382736206055,240.789306640625,7,0,0,0
211,0,0,10.2076635360718,240.456329345703,241.14909362793,7,0,0,0
212,0,0,10.2076635360718,239.502838134766,241.450500488281,7,0,0,0
213,0,0,10.2076635360718,238.549346923828,241.751907348633,7,0,0,0
214,0,0,10.2076635360718,237.595855712891,242.053314208984,7,0,0,0
215,0,0,10.2076635360718,236.642364501953,242.354721069336,7,0,0,0
216,0,0,10.2076635360718,235.688873291016,242.656127929688,7,0,0,0
