PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,0.76,7.26,36.98,0,0,0,0
2,0,0,0.78,8.26,37.01,0,0,0,0
3,0,0,0.8,9.26,37.04,0,0,0,0
4,0,0,0.82,10.26,37.07,0,0,0,0
5,0,0,0.85,11.26,37.1,0,0,0,0
6,0,0,0.87,12.26,37.13,0,0,0,0
7,0,0,0.89,13.26,37.16,0,0,0,0
8,0,0,0.91,14.26,37.19,0,0,0,0
9,0,0,0.93,15.26,37.21,0,0,0,0
10,0,0,0.95,16.26,37.24,0,0,0,0
11,0,0,0.97,17.25,37.27,0,0,0,0
12,0,0,1,18.25,37.3,0,0,0,0
13,0,0,1.02,19.25,37.33,0,0,0,0
14,0,0,1.04,20.25,37.36,0,0,0,0
15,0,0,1.06,21.25,37.39,0,0,0,0
16,0,0,1.08,22.25,37.42,0,0,0,0
17,0,0,1.1,23.25,37.45,0,0,0,0
18,0,0,1.12,24.25,37.48,0,0,0,0
19,0,0,1.15,25.25,37.51,0,0,0,0
20,0,0,1.17,26.25,37.54,0,0,0,0
21,0,0,1.19,27.25,37.57,0,0,0,0
22,0,0,1.21,28.25,37.6,0,0,0,0
23,0,0,1.23,29.25,37.63,0,0,0,0
24,0,0,1.25,30.25,37.66,0,0,0,0
25,0,0,1.27,31.25,37.69,0,0,0,0
26,0,0,1.3,32.24,37.72,0,0,0,0
27,0,0,1.32,33.24,37.75,0,0,0,0
28,0,0,1.34,34.24,37.78,0,0,0,0
29,0,0,1.36,35.24,37.81,0,0,0,0
30,0,0,1.38,36.24,37.84,0,0,0,0
31,0,0,1.4,37.24,37.87,0,0,0,0
32,0,0,1.43,38.24,37.89,0,0,0,0
33,0,0,1.45,39.24,37.92,0,0,0,0
34,0,0,1.47,40.24,37.95,0,0,0,0
35,0,0,1.49,41.24,37.98,0,0,0,0
36,0,0,1.51,42.24,38.01,0,0,0,0
37,0,0,1.53,43.24,38.04,0,0,0,0
38,0,0,1.55,44.24,38.07,0,0,0,0
39,0,0,1.58,45.24,38.1,0,0,0,0
40,0,0,1.6,46.23,38.13,0,0,0,0
41,0,0,1.62,47.23,38.16,0,0,0,0
42,0,0,1.64,48.23,38.19,0,0,0,0
43,0,0,1.66,49.23,38.22,0,0,0,0
44,0,0,1.68,50.23,38.25,0,0,0,0
45,0,0,1.7,51.23,38.28,0,0,0,0
46,0,0,1.73,52.23,38.31,0,0,0,0
47,0,0,1.75,53.23,38.34,0,0,0,0
48,0,0,1.77,54.23,38.37,0,0,0,0
49,0,0,1.79,55.23,38.4,0,0,0,0
50,0,0,1.81,56.23,38.43,0,0,0,0
51,0,0,1.83,57.23,38.46,0,0,0,0
52,0,0,1.85,58.23,38.49,0,0,0,0
53,0,0,1.88,59.23,38.52,0,0,0,0
54,0,0,1.9,60.22,38.54,0,0,0,0
55,0,0,1.92,61.22,38.57,0,0,0,0
56,0,0,1.94,62.22,38.6,0,0,0,0
57,0,0,1.96,63.22,38.63,0,0,0,0
58,0,0,1.98,64.22,38.66,0,0,0,0
59,0,0,2,65.22,38.69,0,0,0,0
60,0,0,2.03,66.22,38.72,0,0,0,0
61,0,0,2.05,67.22,38.75,0,0,0,0
62,0,0,2.07,68.22,38.78,0,0,0,0
63,0,0,2.09,69.22,38.81,0,0,0,0
64,0,0,2.11,70.22,38.84,0,0,0,0
65,0,0,2.13,71.22,38.87,0,0,0,0
66,0,0,2.15,72.22,38.9,0,0,0,0
67,0,0,2.18,73.22,38.93,0,0,0,0
68,0,0,2.2,74.22,38.96,0,0,0,0
69,0,0,2.22,75.21,38.99,0,0,0,0
70,0,0,2.24,76.21,39.02,0,0,0,0
71,0,0,2.26,77.21,39.05,0,0,0,0
72,0,0,2.28,78.21,39.08,0,0,0,0
73,0,0,2.3,79.21,39.11,0,0,0,0
74,0,0,2.33,80.21,39.14,0,0,0,0
75,0,0,2.35,81.21,39.17,0,0,0,0
76,0,0,2.37,82.21,39.19,0,0,0,0
77,0,0,2.39,83.21,39.22,0,0,0,0
78,0,0,2.41,84.21,39.25,0,0,0,0
79,0,0,2.47,85.21,39.29,0,0,0,0
80,0,0,2.54,86.2,39.33,0,0,0,0
81,0,0,2.6,87.2,39.37,0,0,0,0
82,0,0,2.66,88.2,39.41,0,0,0,0
83,0,0,2.72,89.19,39.45,0,0,0,0
84,0,0,2.78,90.19,39.48,0,0,0,0
85,0,0,2.85,91.19,39.52,0,0,0,0
86,0,0,2.91,92.19,39.56,0,0,0,0
87,0,0,2.97,93.18,39.6,0,0,0,0
88,0,0,3.03,94.18,39.64,0,0,0,0
89,0,0,3.09,95.18,39.68,0,0,0,0
90,0,0,3.16,96.18,39.71,0,0,0,0
91,0,0,3.22,97.17,39.75,0,0,0,0
92,0,0,3.28,98.17,39.79,0,0,0,0
93,0,0,3.34,99.17,39.83,0,0,0,0
94,0,0,3.4,100.17,39.87,0,0,0,0
95,0,0,3.46,101.16,39.9,0,0,0,0
96,0,0,3.53,102.16,39.94,0,0,0,0
97,0,0,3.59,103.16,39.98,0,0,0,0
98,0,0,3.65,104.15,40.02,0,0,0,0
99,0,0,3.71,105.15,40.06,0,0,0,0
100,0,0,3.77,106.15,40.1,0,0,0,0
101,0,0,3.84,107.15,40.13,0,0,0,0
102,0,0,3.9,108.14,40.17,0,0,0,0
103,0,0,3.96,109.14,40.21,0,0,0,0
104,0,0,4.02,110.14,40.25,0,0,0,0
105,0,0,4.08,111.14,40.29,0,0,0,0
106,0,0,4.15,112.13,40.33,0,0,0,0
107,0,0,4.21,113.13,40.36,0,0,0,0
108,0,0,4.27,114.13,40.4,0,0,0,0
109,0,0,4.33,115.13,40.44,0,0,0,0
110,0,0,4.39,116.12,40.48,0,0,0,0
111,0,0,4.46,117.12,40.52,0,0,0,0
112,0,0,4.52,118.12,40.56,0,0,0,0
113,0,0,4.58,119.11,40.59,0,0,0,0
114,0,0,4.64,120.11,40.63,0,0,0,0
115,0,0,4.7,121.11,40.67,0,0,0,0
116,0,0,4.77,122.11,40.71,0,0,0,0
117,0,0,4.83,123.1,40.75,0,0,0,0
118,0,0,4.89,124.1,40.79,0,0,0,0
119,0,0,4.95,125.1,40.82,0,0,0,0
120,0,0,5.01,126.1,40.86,0,0,0,0
121,0,0,5.08,127.09,40.9,0,0,0,0
122,0,0,5.14,128.09,40.94,0,0,0,0
123,0,0,5.2,129.09,40.98,0,0,0,0
124,0,0,5.26,130.09,41.02,0,0,0,0
