PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,6.19,23.85,133.82,0,0,0,0
2,0,0,6.14,23.66,132.84,0,0,0,0
3,0,0,6.09,23.48,131.86,0,0,0,0
4,0,0,6.04,23.3,130.87,0,0,0,0
5,0,0,5.99,23.12,129.89,0,0,0,0
6,0,0,5.94,22.94,128.91,0,0,0,0
7,0,0,5.89,22.76,127.93,0,0,0,0
8,0,0,5.84,22.57,126.95,0,0,0,0
9,0,0,5.79,22.39,125.96,0,0,0,0
10,0,0,5.74,22.21,124.98,0,0,0,0
11,0,0,5.69,22.03,124,0,0,0,0
12,0,0,5.64,21.85,123.02,0,0,0,0
13,0,0,5.59,21.66,122.04,0,0,0,0
14,0,0,5.54,21.48,121.05,0,0,0,0
15,0,0,5.49,21.3,120.07,0,0,0,0
16,0,0,5.44,21.12,119.09,0,0,0,0
17,0,0,5.4,20.94,118.11,0,0,0,0
18,0,0,5.35,20.76,117.13,0,0,0,0
19,0,0,5.3,20.57,116.14,0,0,0,0
20,0,0,5.25,20.39,115.16,0,0,0,0
21,0,0,5.2,20.21,114.18,0,0,0,0
22,0,0,5.15,20.03,113.2,0,0,0,0
23,0,0,5.1,19.85,112.21,0,0,0,0
24,0,0,5.05,19.67,111.23,0,0,0,0
25,0,0,5,19.48,110.25,0,0,0,0
26,0,0,4.95,19.3,109.27,0,0,0,0
27,0,0,4.9,19.12,108.29,0,0,0,0
28,0,0,4.85,18.94,107.3,0,0,0,0
29,0,0,4.8,18.76,106.32,0,0,0,0
30,0,0,4.75,18.58,105.34,0,0,0,0
31,0,0,4.7,18.39,104.36,0,0,0,0
32,0,0,4.65,18.21,103.38,0,0,0,0
33,0,0,4.6,18.03,102.39,0,0,0,0
34,0,0,4.55,17.85,101.41,0,0,0,0
35,0,0,4.51,17.67,100.43,0,0,0,0
36,0,0,4.46,17.49,99.45,0,0,0,0
37,0,0,4.41,17.3,98.47,0,0,0,0
38,0,0,4.36,17.12,97.48,0,0,0,0
39,0,0,4.31,16.94,96.5,0,0,0,0
40,0,0,4.26,16.76,95.52,0,0,0,0
41,0,0,4.21,16.58,94.54,0,0,0,0
42,0,0,4.16,16.39,93.55,0,0,0,0
43,0,0,4.11,16.21,92.57,0,0,0,0
44,0,0,4.06,16.03,91.59,0,0,0,0
45,0,0,4.01,15.85,90.61,0,0,0,0
46,0,0,3.96,15.67,89.63,0,0,0,0
47,0,0,3.91,15.49,88.64,0,0,0,0
48,0,0,3.86,15.3,87.66,0,0,0,0
49,0,0,3.81,15.12,86.68,0,0,0,0
50,0,0,3.76,14.94,85.7,0,0,0,0
51,0,0,3.71,14.76,84.72,0,0,0,0
52,0,0,3.66,14.58,83.73,0,0,0,0
53,0,0,3.62,14.4,82.75,0,0,0,0
54,0,0,3.57,14.21,81.77,0,0,0,0
55,0,0,3.52,14.03,80.79,0,0,0,0
56,0,0,3.47,13.85,79.8,0,0,0,0
57,0,0,3.42,13.67,78.82,0,0,0,0
58,0,0,3.37,13.49,77.84,0,0,0,0
59,0,0,3.32,13.31,76.86,0,0,0,0
60,0,0,3.27,13.12,75.88,0,0,0,0
61,0,0,3.22,12.94,74.89,0,0,0,0
62,0,0,3.17,12.76,73.91,0,0,0,0
63,0,0,3.12,12.58,72.93,0,0,0,0
64,0,0,3.07,12.4,71.95,0,0,0,0
65,0,0,3.02,12.22,70.97,0,0,0,0
66,0,0,2.97,12.03,69.98,0,0,0,0
67,0,0,2.92,11.85,69,0,0,0,0
68,0,0,2.87,11.67,68.02,0,0,0,0
69,0,0,2.82,11.49,67.04,0,0,0,0
70,0,0,2.77,11.31,66.06,0,0,0,0
71,0,0,2.73,11.12,65.07,0,0,0,0
72,0,0,2.68,10.94,64.09,0,0,0,0
73,0,0,2.63,10.76,63.11,0,0,0,0
74,0,0,2.58,10.58,62.13,0,0,0,0
75,0,0,2.55,10.4,61.14,0,0,0,0
76,0,0,2.52,10.22,60.16,0,0,0,0
77,0,0,2.49,10.04,59.18,0,0,0,0
78,0,0,2.46,9.86,58.19,0,0,0,0
79,0,0,2.43,9.68,57.21,0,0,0,0
80,0,0,2.4,9.51,56.23,0,0,0,0
81,0,0,2.37,9.33,55.24,0,0,0,0
82,0,0,2.34,9.15,54.26,0,0,0,0
83,0,0,2.31,8.97,53.28,0,0,0,0
84,0,0,2.28,8.79,52.29,0,0,0,0
85,0,0,2.25,8.61,51.31,0,0,0,0
86,0,0,2.22,8.43,50.33,0,0,0,0
87,0,0,2.19,8.25,49.34,0,0,0,0
88,0,0,2.16,8.07,48.36,0,0,0,0
89,0,0,2.13,7.89,47.38,0,0,0,0
90,0,0,2.1,7.72,46.39,0,0,0,0
91,0,0,2.07,7.54,45.41,0,0,0,0
92,0,0,2.04,7.36,44.43,0,0,0,0
93,0,0,2.01,7.18,43.44,0,0,0,0
94,0,0,1.98,7,42.46,0,0,0,0
95,0,0,1.96,6.82,41.48,0,0,0,0
96,0,0,1.93,6.64,40.49,0,0,0,0
97,0,0,1.9,6.46,39.51,0,0,0,0
98,0,0,1.87,6.28,38.53,0,0,0,0
99,0,0,1.84,6.1,37.54,0,0,0,0
100,0,0,1.81,5.93,36.56,0,0,0,0
101,0,0,1.78,5.75,35.58,0,0,0,0
102,0,0,1.75,5.57,34.59,0,0,0,0
103,0,0,1.72,5.39,33.61,0,0,0,0
104,0,0,1.69,5.21,32.63,0,0,0,0
105,0,0,1.66,5.03,31.64,0,0,0,0
106,0,0,1.63,4.85,30.66,0,0,0,0
107,0,0,1.6,4.67,29.67,0,0,0,0
108,0,0,1.57,4.49,28.69,0,0,0,0
109,0,0,1.54,4.31,27.71,0,0,0,0
110,0,0,1.51,4.13,26.72,0,0,0,0
111,0,0,1.48,3.96,25.74,0,0,0,0
112,0,0,1.45,3.78,24.76,0,0,0,0
113,0,0,1.42,3.6,23.77,0,0,0,0
114,0,0,1.39,3.42,22.79,0,0,0,0
115,0,0,1.36,3.24,21.81,0,0,0,0
116,0,0,1.33,3.06,20.82,0,0,0,0
117,0,0,1.3,2.88,19.84,0,0,0,0
118,0,0,1.27,2.7,18.86,0,0,0,0
119,0,0,1.24,2.52,17.87,0,0,0,0
120,0,0,1.21,2.34,16.89,0,0,0,0
121,0,0,1.19,2.17,15.91,0,0,0,0
122,0,0,1.16,1.99,14.92,0,0,0,0
123,0,0,1.13,1.81,13.94,0,0,0,0
124,0,0,1.1,1.63,12.96,0,0,0,0
125,0,0,1.07,1.45,11.97,0,0,0,0
126,0,0,1.04,1.27,10.99,0,0,0,0
127,0,0,1.01,1.09,10.01,0,0,0,0
128,0,0,0.98,0.91,9.02,0,0,0,0
129,0,0,0.95,0.73,8.04,0,0,0,0
130,0,0,0.92,0.55,7.06,0,0,0,0
131,0,0,0.89,0.38,6.07,0,0,0,0
132,0,0,0.86,0.2,5.09,0,0,0,0
133,0,0,0.83,0.02,4.11,0,0,0,0
134,0,0,0.8,-0.16,3.12,0,0,0,0
135,0,0,0.77,-0.34,2.14,0,0,0,0
136,0,0,0.74,-0.52,1.16,0,0,0,0
137,0,0,0.71,-0.7,0.17,0,0,0,0
138,0,0,0.68,-0.88,-0.81,0,0,0,0
139,0,0,0.65,-1.06,-1.79,0,0,0,0
140,0,0,0.62,-1.24,-2.78,0,0,0,0
141,0,0,0.59,-1.41,-3.76,0,0,0,0
142,0,0,0.56,-1.59,-4.74,0,0,0,0
143,0,0,0.53,-1.79,-5.72,0,0,0,0
144,0,0,0.5,-1.99,-6.7,0,0,0,0
145,0,0,0.47,-2.19,-7.68,0,0,0,0
146,0,0,0.44,-2.39,-8.66,0,0,0,0
147,0,0,0.4,-2.58,-9.64,0,0,0,0
148,0,0,0.37,-2.78,-10.62,0,0,0,0
149,0,0,0.34,-2.98,-11.6,0,0,0,0
150,0,0,0.31,-3.18,-12.58,0,0,0,0
151,0,0,0.27,-3.38,-13.56,0,0,0,0
152,0,0,0.24,-3.57,-14.54,0,0,0,0
153,0,0,0.21,-3.77,-15.52,0,0,0,0
154,0,0,0.18,-3.97,-16.5,0,0,0,0
155,0,0,0.15,-4.17,-17.48,0,0,0,0
156,0,0,0.11,-4.37,-18.46,0,0,0,0
157,0,0,0.08,-4.56,-19.44,0,0,0,0
158,0,0,0.05,-4.76,-20.42,0,0,0,0
159,0,0,0.02,-4.96,-21.4,0,0,0,0
160,0,0,-0.01,-5.16,-22.38,0,0,0,0
161,0,0,-0.05,-5.36,-23.36,0,0,0,0
162,0,0,-0.08,-5.55,-24.34,0,0,0,0
163,0,0,-0.11,-5.75,-25.32,0,0,0,0
164,0,0,-0.14,-5.95,-26.3,0,0,0,0
165,0,0,-0.17,-6.15,-27.28,0,0,0,0
166,0,0,-0.21,-6.35,-28.26,0,0,0,0
167,0,0,-0.24,-6.55,-29.24,0,0,0,0
168,0,0,-0.27,-6.74,-30.22,0,0,0,0
169,0,0,-0.3,-6.94,-31.2,0,0,0,0
170,0,0,-0.34,-7.14,-32.17,0,0,0,0
171,0,0,-0.37,-7.34,-33.15,0,0,0,0
172,0,0,-0.4,-7.54,-34.13,0,0,0,0
173,0,0,-0.43,-7.73,-35.11,0,0,0,0
174,0,0,-0.46,-7.93,-36.09,0,0,0,0
175,0,0,-0.5,-8.13,-37.07,0,0,0,0
176,0,0,-0.53,-8.33,-38.05,0,0,0,0
177,0,0,-0.56,-8.53,-39.03,0,0,0,0
178,0,0,-0.59,-8.72,-40.01,0,0,0,0
179,0,0,-0.62,-8.92,-40.99,0,0,0,0
180,0,0,-0.66,-9.12,-41.97,0,0,0,0
