DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,0,0,0,0,0,0,0
2,1,2,0,0,0,0,0,0,0
3,2.01,3,0,0,0,0,0,0,0
4,3,4,0,0,0,0,0,0,0
5,4,5,0,0,0,0,0,0,0
6,5,6,0,0,0,0,0,0,0
7,6.01,7,0,0,0,0,0,0,0
8,7,8,0,0,0,0,0,0,0
9,8,9,0,0,0,0,0,0,0
10,9.01,10,0,0,0,0,0,0,0
11,10.01,11,0,0,0,0,0,0,0
12,11,12,0,0,0,0,0,0,0
13,12,13,0,0,0,0,0,0,0
14,13.01,14,0,0,0,0,0,0,0
15,14,15,0,0,0,0,0,0,0
16,15,16,0,0,0,0,0,0,0
17,16.01,17,0,0,0,0,0,0,0
18,17.01,18,0,0,0,0,0,0,0
19,18,19,0,0,0,0,0,0,0
20,19,20,0,0,0,0,0,0,0
21,20.01,21,0,0,0,0,0,0,0
22,21.01,22,0,0,0,0,0,0,0
23,22,23,0,0,0,0,0,0,0
24,23,24,0,0,0,0,0,0,0
25,24.01,25,0,0,0,0,0,0,0
26,25,26,0,0,0,0,0,0,0
27,26,27,0,0,0,0,0,0,0
28,27.01,28,0,0,0,0,0,0,0
29,28.01,29,0,0,0,0,0,0,0
30,29,30,0,0,0,0,0,0,0
31,30,31,0,0,0,0,0,0,0
32,31.01,32,0,0,0,0,0,0,0
33,32,33,0,0,0,0,0,0,0
34,33,34,0,0,0,0,0,0,0
35,34.01,35,0,0,0,0,0,0,0
36,35.01,36,0,0,0,0,0,0,0
37,36,37,0,0,0,0,0,0,0
38,37,38,0,0,0,0,0,0,0
39,38.01,39,0,0,0,0,0,0,0
40,39.01,40,0,0,0,0,0,0,0
41,40,41,0,0,0,0,0,0,0
42,41,42,0,0,0,0,0,0,0
43,42.01,43,0,0,0,0,0,0,0
44,43,44,0,0,0,0,0,0,0
45,44,45,0,0,0,0,0,0,0
46,45.01,46,0,0,0,0,0,0,0
47,46.01,47,0,0,0,0,0,0,0
48,47,48,0,0,0,0,0,0,0
49,48,49,0,0,0,0,0,0,0
50,49.01,50,0,0,0,0,0,0,0
51,0,52,0,0,0,0,0,0,0
52,1,53,0,0,0,0,0,0,0
53,2,54,0,0,0,0,0,0,0
54,3,55,0,0,0,0,0,0,0
55,4,56,0,0,0,0,0,0,0
56,5,57,0,0,0,0,0,0,0
57,6,58,0,0,0,0,0,0,0
58,7,59,0,0,0,0,0,0,0
59,8,60,0,0,0,0,0,0,0
60,9,61,0,0,0,0,0,0,0
61,10,62,0,0,0,0,0,0,0
62,11.01,63,0,0,0,0,0,0,0
63,12,64,0,0,0,0,0,0,0
