PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,-1.02,55.47,-7.41,0,0,0,0
2,0,0,-1.02,54.5,-7.67,0,0,0,0
3,0,0,-1.02,53.53,-7.92,0,0,0,0
4,0,0,-1.02,52.57,-8.18,0,0,0,0
5,0,0,-1.02,51.6,-8.43,0,0,0,0
6,0,0,-1.02,50.63,-8.68,0,0,0,0
7,0,0,-1.02,49.66,-8.94,0,0,0,0
8,0,0,-1.02,48.7,-9.19,0,0,0,0
9,0,0,-1.02,47.73,-9.45,0,0,0,0
10,0,0,-1.02,46.76,-9.7,0,0,0,0
11,0,0,-1.02,45.79,-9.95,0,0,0,0
12,0,0,-1.02,44.83,-10.21,0,0,0,0
13,0,0,-1.02,43.86,-10.46,0,0,0,0
14,0,0,-1.02,42.89,-10.71,0,0,0,0
15,0,0,-1.02,41.93,-10.97,0,0,0,0
16,0,0,-1.02,40.96,-11.22,0,0,0,0
17,0,0,-1.02,39.99,-11.48,0,0,0,0
18,0,0,-1.02,39.02,-11.73,0,0,0,0
19,0,0,-1.02,38.06,-11.98,0,0,0,0
20,0,0,-1.02,37.09,-12.24,0,0,0,0
21,0,0,-1.02,36.12,-12.49,0,0,0,0
22,0,0,-1.02,35.15,-12.75,0,0,0,0
23,0,0,-1.02,34.19,-13,0,0,0,0
24,0,0,-1.02,33.22,-13.25,0,0,0,0
25,0,0,-1.02,32.25,-13.51,0,0,0,0
26,0,0,-1.02,31.29,-13.76,0,0,0,0
27,0,0,-1.02,30.32,-14.01,0,0,0,0
28,0,0,-1.02,29.35,-14.27,0,0,0,0
29,0,0,-1.02,28.38,-14.52,0,0,0,0
30,0,0,-1.02,27.42,-14.78,0,0,0,0
31,0,0,-1.02,26.45,-15.03,0,0,0,0
32,0,0,-1.02,25.48,-15.28,0,0,0,0
33,0,0,-1.02,24.52,-15.54,0,0,0,0
34,0,0,-1.02,23.55,-15.79,0,0,0,0
35,0,0,-1.02,22.58,-16.05,0,0,0,0
36,0,0,-1.02,21.61,-16.3,0,0,0,0
37,0,0,-1.02,20.65,-16.55,0,0,0,0
38,0,0,-1.02,19.68,-16.81,0,0,0,0
39,0,0,-1.02,18.71,-17.06,0,0,0,0
40,0,0,-1.02,17.74,-17.31,0,0,0,0
41,0,0,-1.02,16.78,-17.57,0,0,0,0
42,0,0,-1.02,15.81,-17.82,0,0,0,0
43,0,0,-1.02,14.84,-18.08,0,0,0,0
44,0,0,-1.02,13.88,-18.33,0,0,0,0
45,0,0,-1.02,12.91,-18.58,0,0,0,0
46,0,0,-1.02,11.94,-18.84,0,0,0,0
47,0,0,-1.02,10.97,-19.09,0,0,0,0
48,0,0,-1.02,10.01,-19.35,0,0,0,0
49,0,0,-1.02,9.04,-19.6,0,0,0,0
50,0,0,-1.02,8.07,-19.85,0,0,0,0
51,0,0,-1.02,7.13,-20.1,0,0,0,0
52,0,0,-1.02,-21.5,-28.89,0,0,0,0
