ID,LID,Width,Color,type,LinkID
1,16,0.2,W,0,0
2,17,0.2,W,0,0
3,18,0.2,W,0,0
4,19,0.2,W,0,0
5,20,0.2,W,0,0
6,21,0.2,W,0,0
7,22,0.2,W,0,0
8,23,0.2,W,0,0
9,24,0.2,W,0,0
10,25,0.2,W,0,0
11,26,0.2,W,0,0
12,27,0.2,Y,0,0
13,28,0.2,Y,0,0
14,29,0.2,Y,0,0
15,30,0.2,Y,0,0
16,31,0.2,Y,0,0
17,32,0.2,Y,0,0
18,33,0.2,Y,0,0
19,34,0.2,Y,0,0
20,35,0.2,Y,0,0
21,36,0.2,Y,0,0
22,37,0.2,Y,0,0
23,38,0.2,Y,0,0
24,39,0.2,Y,0,0
25,40,0.2,Y,0,0
26,41,0.2,Y,0,0
27,42,0.2,Y,0,0
28,43,0.2,Y,0,0
29,44,0.2,Y,0,0
30,45,0.2,Y,0,0
31,46,0.2,Y,0,0
32,47,0.2,Y,0,0
33,48,0.2,Y,0,0
34,49,0.2,Y,0,0
35,50,0.2,Y,0,0
36,51,0.2,Y,0,0
37,52,0.2,Y,0,0
38,53,0.2,Y,0,0
39,54,0.2,Y,0,0
40,55,0.2,Y,0,0
41,56,0.2,Y,0,0
42,57,0.2,Y,0,0
43,58,0.2,Y,0,0
44,59,0.2,Y,0,0
45,60,0.2,Y,0,0
46,61,0.2,Y,0,0
47,62,0.2,Y,0,0
48,63,0.2,Y,0,0
49,64,0.2,Y,0,0
50,65,0.2,Y,0,0
51,66,0.2,Y,0,0
52,67,0.2,Y,0,0
53,68,0.2,Y,0,0
54,69,0.2,Y,0,0
55,70,0.2,Y,0,0
56,71,0.2,Y,0,0
57,72,0.2,Y,0,0
58,73,0.2,Y,0,0
59,74,0.2,Y,0,0
60,75,0.2,Y,0,0
61,76,0.2,Y,0,0
62,77,0.2,Y,0,0
63,78,0.2,Y,0,0
64,79,0.2,Y,0,0
65,80,0.2,Y,0,0
66,81,0.2,Y,0,0
67,82,0.2,Y,0,0
68,83,0.2,Y,0,0
69,84,0.2,Y,0,0
70,85,0.2,Y,0,0
71,86,0.2,Y,0,0
72,87,0.2,Y,0,0
73,88,0.2,Y,0,0
74,89,0.2,Y,0,0
75,90,0.2,Y,0,0
76,91,0.2,Y,0,0
77,92,0.2,Y,0,0
78,93,0.2,Y,0,0
79,94,0.2,Y,0,0
80,95,0.2,Y,0,0
81,96,0.2,W,0,0
82,97,0.2,W,0,0
83,98,0.2,W,0,0
84,99,0.2,W,0,0
85,100,0.2,W,0,0
86,101,0.2,W,0,0
87,102,0.2,W,0,0
88,103,0.2,Y,0,0
89,104,0.2,Y,0,0
90,105,0.2,Y,0,0
91,106,0.2,Y,0,0
92,107,0.2,Y,0,0
93,108,0.2,Y,0,0
94,109,0.2,Y,0,0
95,110,0.2,Y,0,0
96,111,0.2,Y,0,0
97,112,0.2,Y,0,0
98,113,0.2,Y,0,0
99,114,0.2,Y,0,0
100,115,0.2,Y,0,0
101,116,0.2,Y,0,0
102,117,0.2,Y,0,0
103,118,0.2,Y,0,0
104,119,0.2,Y,0,0
105,120,0.2,Y,0,0
106,121,0.2,Y,0,0
107,122,0.2,Y,0,0
108,123,0.2,Y,0,0
109,124,0.2,Y,0,0
110,125,0.2,Y,0,0
111,126,0.2,Y,0,0
112,127,0.2,Y,0,0
113,128,0.2,Y,0,0
114,129,0.2,Y,0,0
115,130,0.2,Y,0,0
116,131,0.2,Y,0,0
117,132,0.2,Y,0,0
118,133,0.2,Y,0,0
119,134,0.2,Y,0,0
120,135,0.2,Y,0,0
121,136,0.2,Y,0,0
122,137,0.2,Y,0,0
123,138,0.2,Y,0,0
124,139,0.2,Y,0,0
125,140,0.2,Y,0,0
126,141,0.2,Y,0,0
127,142,0.2,Y,0,0
128,143,0.2,Y,0,0
129,144,0.2,Y,0,0
130,145,0.2,Y,0,0
131,146,0.2,Y,0,0
132,147,0.2,Y,0,0
133,148,0.2,Y,0,0
134,149,0.2,Y,0,0
135,150,0.2,Y,0,0
136,151,0.2,Y,0,0
137,152,0.2,Y,0,0
138,153,0.2,Y,0,0
139,154,0.2,Y,0,0
140,155,0.2,Y,0,0
141,156,0.2,Y,0,0
142,157,0.2,Y,0,0
143,158,0.2,Y,0,0
144,159,0.2,Y,0,0
145,160,0.2,Y,0,0
146,161,0.2,Y,0,0
147,162,0.2,Y,0,0
148,163,0.2,Y,0,0
149,164,0.2,Y,0,0
150,165,0.2,Y,0,0
151,166,0.2,Y,0,0
152,167,0.2,Y,0,0
153,168,0.2,Y,0,0
154,169,0.2,Y,0,0
155,170,0.2,Y,0,0
156,171,0.2,Y,0,0
157,172,0.2,Y,0,0
158,173,0.2,Y,0,0
159,174,0.2,Y,0,0
160,175,0.2,Y,0,0
161,176,0.2,Y,0,0
162,177,0.2,Y,0,0
163,178,0.2,Y,0,0
