x,y,z,yaw,velocity,change_flag
-8.7335,51.7313,-0.7735,-1.8288,0,0
-8.9628,50.7484,-0.8143,-1.8290,0.0000,0
-9.2095,49.7111,-0.8398,-1.8291,0.0000,0
-9.5221,48.6102,-0.8782,-1.8294,0.0000,0
-9.7817,47.4795,-0.8996,-1.8297,0.0000,0
-10.0831,46.3478,-0.9306,-1.8299,0.0000,0
-10.3257,45.3368,-0.9589,-1.8302,0.0000,0
-10.6297,44.1581,-0.9884,-1.8297,0.0000,0
-10.9632,43.0263,-1.0232,-1.8296,0.0000,0
-11.3119,41.8074,-1.0547,-1.8301,0.0000,0
-11.5924,40.6371,-1.0826,-1.8299,0.0000,0
-11.9315,39.4836,-1.1151,-1.8296,0.0000,0
-12.2011,38.5203,-1.1411,-1.8298,0.0000,0
-12.4919,37.4673,-1.1661,-1.8293,0.0000,0
-12.7457,36.4655,-1.1953,-1.8295,0.0000,0
-13.0459,35.3686,-1.2230,-1.8295,0.0000,0
-13.3111,34.3376,-1.2493,-1.8290,0.0000,0
-13.5938,33.2543,-1.2789,-1.8302,0.0000,0
-13.8567,32.2076,-1.3083,-1.8299,0.0000,0
-14.1760,31.0846,-1.3364,-1.8301,0.0000,0
-14.4739,29.9551,-1.3696,-1.8301,0.0000,0
-14.7791,28.7277,-1.4163,-1.8303,0.0000,0
-15.1040,27.6582,-1.4524,-1.8297,0.0000,0
-15.4136,26.4668,-1.4597,-1.8293,0.0000,0
-15.7152,25.3628,-1.4845,-1.8299,0.0000,0
-16.0557,24.1388,-1.5104,-1.8291,0.0000,0
-16.2996,22.9907,-1.5298,-1.8297,0.0000,0
-16.6291,21.7402,-1.5542,-1.8297,0.0000,0
-16.9357,20.6396,-1.5661,-1.8297,0.0000,0
-17.2525,19.3105,-1.5704,-1.8304,0.0000,0
-17.5481,18.2601,-1.5743,-1.8295,0.0000,0
-17.8899,17.0611,-1.5816,-1.8287,0.0000,0
-18.1573,15.8877,-1.5946,-1.8291,0.0000,0
-18.5000,14.6966,-1.6049,-1.8290,0.0000,0
-18.8323,13.5098,-1.6267,-1.8290,0.0000,0
-19.1138,12.3159,-1.6418,-1.8291,0.0000,0
-19.4405,11.1231,-1.6480,-1.8289,0.0000,0
-19.7650,9.9256,-1.6536,-1.8287,0.0000,0
-20.0388,8.7798,-1.6611,-1.8295,0.0000,0
-20.4040,7.5218,-1.6705,-1.8286,0.0000,0
-20.7313,6.2527,-1.6691,-1.8291,0.0000,0
-21.0903,4.8938,-1.6783,-1.8291,0.0000,0
-21.4132,3.6213,-1.6971,-1.8298,0.0000,0
-21.7733,2.2715,-1.7283,-1.8290,0.0000,0
-22.1281,1.0052,-1.7552,-1.8296,0.0000,0
-22.4818,-0.3832,-1.7849,-1.8293,0.0000,0
-22.8051,-1.6980,-1.8065,-1.8300,0.0000,0
-23.1728,-3.0703,-1.8368,-1.8295,0.0000,0
-23.5344,-4.3925,-1.8592,-1.8296,0.0000,0
-23.8980,-5.7008,-1.8919,-1.8288,0.0000,0
-24.2492,-7.1164,-1.9323,-1.8295,0.0000,0
-24.6771,-8.5755,-1.9701,-1.8286,0.0000,0
-25.0030,-9.9113,-2.0029,-1.8292,0.0000,0
-25.3803,-11.3543,-2.0406,-1.8287,0.0000,0
-25.7554,-12.7623,-2.0719,-1.8296,0.0000,0
-26.1409,-14.1903,-2.0995,-1.8291,0.0000,0
-26.3735,-15.1798,-2.1042,-1.8305,0.0000,0
-26.6526,-16.1815,-2.1193,-1.8302,0.0000,0
-27.0397,-17.5571,-2.1440,-1.8296,0.0000,0
-27.3860,-18.9166,-2.1701,-1.8301,0.0000,0
-27.6759,-19.9486,-2.1914,-1.8292,0.0000,0
-28.0606,-21.3870,-2.2239,-1.8299,0.0000,0
-28.4262,-22.8273,-2.2615,-1.8300,0.0000,0
-28.7006,-23.8204,-2.2830,-1.8306,0.0000,0
-29.0829,-25.2822,-2.3092,-1.8299,0.0000,0
-29.4558,-26.6909,-2.3235,-1.8296,0.0000,0
-29.7465,-27.7304,-2.3439,-1.8302,0.0000,0
-30.1046,-29.1040,-2.3691,-1.8299,0.0000,0
-30.3774,-30.0989,-2.3859,-1.8312,0.0000,0
-30.6668,-31.1581,-2.3970,-1.8304,0.0000,0
-30.9199,-32.1416,-2.4196,-1.8308,0.0000,0
-31.2022,-33.1234,-2.4335,-1.8304,0.0000,0
-31.4535,-34.1325,-2.4528,-1.8316,0.0000,0
-31.8595,-35.6287,-2.4824,-1.8310,0.0000,0
-32.1388,-36.6545,-2.4975,-1.8300,0.0000,0
-32.4645,-37.8869,-2.5182,-1.8313,0.0000,0
-32.7943,-39.0967,-2.5367,-1.8312,0.0000,0
-33.1054,-40.2179,-2.5598,-1.8218,0.0000,0
-33.3699,-41.3723,-2.5700,-1.7797,0.0000,0
-33.6267,-42.5599,-2.5999,-1.7475,0.0000,0
-33.7749,-43.7730,-2.6154,-1.5891,0.0000,0
-33.7672,-44.9621,-2.6269,-1.4754,0.0000,0
-33.6377,-46.1525,-2.6318,-1.4625,0.0000,0
-33.5107,-47.3553,-2.6489,-1.5352,0.0000,0
-33.5293,-48.5979,-2.6700,-1.6100,0.0000,0
-33.5579,-49.8209,-2.6752,-1.6116,0.0000,0
-33.6296,-51.0765,-2.7037,-1.6394,0.0000,0
-33.7095,-52.3291,-2.7169,-1.6424,0.0000,0
-33.7995,-53.5423,-2.7500,-1.6801,0.0000,0
-33.9500,-54.5720,-2.7718,-1.7301,0.0000,0
-34.1342,-55.8283,-2.7941,-1.7293,0.0000,0
-34.3055,-56.8288,-2.8105,-1.7302,0.0000,0
-34.4733,-57.8327,-2.8258,-1.7295,0.0000,0
-34.6884,-59.2587,-2.8591,-1.7298,0.0000,0
-34.8619,-60.3066,-2.8777,-1.7294,0.0000,0
-35.0815,-61.6603,-2.8942,-1.7305,0.0000,0
-35.3368,-63.1451,-2.9289,-1.7811,0.0000,0
-35.6509,-64.5960,-2.9476,-1.7824,0.0000,0
-35.9016,-65.7734,-2.9597,-1.8204,0.0000,0
-36.2413,-66.9376,-2.9759,-1.8680,0.0000,0
-36.5393,-68.0041,-2.9807,-1.8688,0.0000,0
-36.9245,-69.1891,-3.0125,-1.8691,0.0000,0
-37.2298,-70.2389,-3.0363,-1.8683,0.0000,0
-37.6094,-71.4295,-3.0546,-1.8684,0.0000,0
-37.9373,-72.5333,-3.0745,-1.8682,0.0000,0
-38.3165,-73.7563,-3.0972,-1.8682,0.0000,0
-38.6644,-74.8649,-3.1173,-1.8690,0.0000,0
-39.0431,-76.0484,-3.1368,-1.8698,0.0000,0
-39.4009,-77.2187,-3.1591,-1.8693,0.0000,0
-39.7619,-78.4140,-3.1764,-1.8688,0.0000,0
-40.0834,-79.5429,-3.1831,-1.8685,0.0000,0
