PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,-1.84,31.13,-50.96,0,0,0,0
2,0,0,-1.83,29.91,-52.33,0,0,0,0
3,0,0,-1.82,29.28,-53.11,0,0,0,0
4,0,0,-1.81,28.65,-53.88,0,0,0,0
5,0,0,-1.8,28.02,-54.66,0,0,0,0
6,0,0,-1.79,27.38,-55.43,0,0,0,0
7,0,0,-1.78,26.75,-56.2,0,0,0,0
8,0,0,-1.77,26.11,-56.98,0,0,0,0
9,0,0,-1.76,25.47,-57.75,0,0,0,0
10,0,0,-1.75,24.85,-58.53,0,0,0,0
11,0,0,-1.74,24.21,-59.3,0,0,0,0
12,0,0,-1.73,23.58,-60.08,0,0,0,0
13,0,0,-1.72,22.95,-60.84,0,0,0,0
14,0,0,-1.71,22.31,-61.62,0,0,0,0
15,0,0,-1.7,21.68,-62.4,0,0,0,0
16,0,0,-1.69,21.05,-63.17,0,0,0,0
17,0,0,-1.68,20.41,-63.94,0,0,0,0
18,0,0,-1.67,19.78,-64.71,0,0,0,0
19,0,0,-1.66,19.15,-65.49,0,0,0,0
20,0,0,-1.65,18.52,-66.27,0,0,0,0
21,0,0,-1.64,17.88,-67.04,0,0,0,0
22,0,0,-1.63,17.25,-67.81,0,0,0,0
23,0,0,-1.62,16.61,-68.59,0,0,0,0
24,0,0,-1.61,15.98,-69.35,0,0,0,0
25,0,0,-1.6,15.35,-70.13,0,0,0,0
26,0,0,-1.59,14.71,-70.91,0,0,0,0
27,0,0,-1.58,14.08,-71.68,0,0,0,0
28,0,0,-1.58,13.37,-72.38,0,0,0,0
29,0,0,-1.57,12.67,-73.1,0,0,0,0
30,0,0,-1.57,11.99,-73.82,0,0,0,0
31,0,0,-1.56,11.3,-74.55,0,0,0,0
32,0,0,-1.55,10.63,-75.29,0,0,0,0
33,0,0,-1.55,9.96,-76.04,0,0,0,0
34,0,0,-1.54,9.29,-76.78,0,0,0,0
35,0,0,-1.53,8.62,-77.52,0,0,0,0
36,0,0,-1.53,7.95,-78.27,0,0,0,0
37,0,0,-1.52,7.29,-79.02,0,0,0,0
38,0,0,-1.51,6.61,-79.76,0,0,0,0
39,0,0,-1.51,5.95,-80.5,0,0,0,0
40,0,0,-1.5,5.28,-81.24,0,0,0,0
41,0,0,-1.49,4.6,-81.98,0,0,0,0
42,0,0,-1.49,3.92,-82.72,0,0,0,0
43,0,0,-1.48,3.24,-83.45,0,0,0,0
44,0,0,-1.47,2.55,-84.18,0,0,0,0
45,0,0,-1.47,1.87,-84.9,0,0,0,0
46,0,0,-1.46,1.17,-85.62,0,0,0,0
47,0,0,-1.46,0.46,-86.33,0,0,0,0
48,0,0,-1.46,-0.27,-86.99,0,0,0,0
49,0,0,-1.46,-1.08,-87.59,0,0,0,0
50,0,0,-1.45,-1.92,-88.12,0,0,0,0
51,0,0,-1.45,-2.84,-88.53,0,0,0,0
52,0,0,-1.45,-3.79,-88.83,0,0,0,0
53,0,0,-1.45,-4.77,-89.03,0,0,0,0
54,0,0,-1.44,-5.77,-89.12,0,0,0,0
55,0,0,-1.44,-6.77,-89.11,0,0,0,0
56,0,0,-1.44,-7.76,-89.03,0,0,0,0
57,0,0,-1.44,-8.75,-88.86,0,0,0,0
58,0,0,-1.44,-9.72,-88.63,0,0,0,0
59,0,0,-1.44,-10.68,-88.35,0,0,0,0
60,0,0,-1.44,-11.63,-88.02,0,0,0,0
61,0,0,-1.43,-12.55,-87.64,0,0,0,0
62,0,0,-1.43,-13.47,-87.23,0,0,0,0
63,0,0,-1.43,-14.36,-86.8,0,0,0,0
64,0,0,-1.43,-15.25,-86.33,0,0,0,0
65,0,0,-1.43,-16.12,-85.84,0,0,0,0
66,0,0,-1.43,-16.98,-85.33,0,0,0,0
67,0,0,-1.43,-17.83,-84.8,0,0,0,0
68,0,0,-1.42,-18.67,-84.25,0,0,0,0
69,0,0,-1.42,-19.49,-83.69,0,0,0,0
70,0,0,-1.42,-20.31,-83.11,0,0,0,0
71,0,0,-1.42,-21.12,-82.53,0,0,0,0
72,0,0,-1.42,-21.92,-81.93,0,0,0,0
73,0,0,-1.42,-22.72,-81.32,0,0,0,0
74,0,0,-1.42,-23.5,-80.7,0,0,0,0
75,0,0,-1.41,-24.28,-80.08,0,0,0,0
76,0,0,-1.41,-25.06,-79.44,0,0,0,0
77,0,0,-1.41,-25.82,-78.8,0,0,0,0
78,0,0,-1.41,-26.59,-78.16,0,0,0,0
79,0,0,-1.41,-27.35,-77.51,0,0,0,0
80,0,0,-1.41,-28.1,-76.85,0,0,0,0
81,0,0,-1.41,-28.85,-76.19,0,0,0,0
82,0,0,-1.41,-29.6,-75.52,0,0,0,0
83,0,0,-1.4,-30.34,-74.85,0,0,0,0
84,0,0,-1.4,-31.08,-74.18,0,0,0,0
85,0,0,-1.4,-31.81,-73.5,0,0,0,0
86,0,0,-1.4,-32.55,-72.82,0,0,0,0
87,0,0,-1.4,-33.28,-72.14,0,0,0,0
88,0,0,-1.4,-34.01,-71.46,0,0,0,0
89,0,0,-1.4,-34.74,-70.78,0,0,0,0
90,0,0,-1.4,-35.47,-70.09,0,0,0,0
91,0,0,-1.39,-36.2,-69.41,0,0,0,0
92,0,0,-1.39,-36.93,-68.73,0,0,0,0
93,0,0,-1.39,-37.66,-68.04,0,0,0,0
94,0,0,-1.39,-38.39,-67.36,0,0,0,0
95,0,0,-1.39,-39.13,-66.69,0,0,0,0
96,0,0,-1.39,-39.87,-66.01,0,0,0,0
97,0,0,-1.39,-40.61,-65.34,0,0,0,0
98,0,0,-1.38,-41.36,-64.68,0,0,0,0
99,0,0,-1.38,-42.12,-64.03,0,0,0,0
