DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,0,0,0,0,0,0,0
2,1.83,2,0,0,0,0,0,0,0
3,2.84,3,0,0,0,0,0,0,0
4,3.83,4,0,0,0,0,0,0,0
5,4.84,5,0,0,0,0,0,0,0
6,5.84,6,0,0,0,0,0,0,0
7,6.83,7,0,0,0,0,0,0,0
8,7.83,8,0,0,0,0,0,0,0
9,8.84,9,0,0,0,0,0,0,0
10,9.83,10,0,0,0,0,0,0,0
11,10.84,11,0,0,0,0,0,0,0
12,11.84,12,0,0,0,0,0,0,0
13,12.83,13,0,0,0,0,0,0,0
14,13.84,14,0,0,0,0,0,0,0
15,14.84,15,0,0,0,0,0,0,0
16,15.83,16,0,0,0,0,0,0,0
17,16.84,17,0,0,0,0,0,0,0
18,17.83,18,0,0,0,0,0,0,0
19,18.83,19,0,0,0,0,0,0,0
20,19.84,20,0,0,0,0,0,0,0
21,20.83,21,0,0,0,0,0,0,0
22,21.83,22,0,0,0,0,0,0,0
23,22.84,23,0,0,0,0,0,0,0
24,23.83,24,0,0,0,0,0,0,0
25,24.83,25,0,0,0,0,0,0,0
26,25.84,26,0,0,0,0,0,0,0
27,26.83,27,0,0,0,0,0,0,0
28,27.83,28,0,0,0,0,0,0,0
29,28.83,29,0,0,0,0,0,0,0
30,29.83,30,0,0,0,0,0,0,0
31,30.83,31,0,0,0,0,0,0,0
32,31.83,32,0,0,0,0,0,0,0
33,32.83,33,0,0,0,0,0,0,0
34,33.83,34,0,0,0,0,0,0,0
35,34.83,35,0,0,0,0,0,0,0
36,35.83,36,0,0,0,0,0,0,0
37,36.83,37,0,0,0,0,0,0,0
38,37.84,38,0,0,0,0,0,0,0
39,38.84,39,0,0,0,0,0,0,0
40,39.84,40,0,0,0,0,0,0,0
41,40.84,41,0,0,0,0,0,0,0
42,41.84,42,0,0,0,0,0,0,0
43,42.84,43,0,0,0,0,0,0,0
44,43.84,44,0,0,0,0,0,0,0
45,44.84,45,0,0,0,0,0,0,0
46,45.84,46,0,0,0,0,0,0,0
47,46.84,47,0,0,0,0,0,0,0
48,47.84,48,0,0,0,0,0,0,0
49,48.84,49,0,0,0,0,0,0,0
50,49.84,50,0,0,0,0,0,0,0
51,50.84,51,0,0,0,0,0,0,0
52,51.84,52,0,0,0,0,0,0,0
53,52.84,53,0,0,0,0,0,0,0
54,53.84,54,0,0,0,0,0,0,0
55,54.84,55,0,0,0,0,0,0,0
56,55.84,56,0,0,0,0,0,0,0
57,56.84,57,0,0,0,0,0,0,0
58,57.84,58,0,0,0,0,0,0,0
59,58.84,59,0,0,0,0,0,0,0
60,59.84,60,0,0,0,0,0,0,0
61,60.84,61,0,0,0,0,0,0,0
62,61.84,62,0,0,0,0,0,0,0
63,62.84,63,0,0,0,0,0,0,0
64,63.84,64,0,0,0,0,0,0,0
65,64.84,65,0,0,0,0,0,0,0
66,65.84,66,0,0,0,0,0,0,0
67,66.84,67,0,0,0,0,0,0,0
68,67.84,68,0,0,0,0,0,0,0
69,68.84,69,0,0,0,0,0,0,0
70,69.84,70,0,0,0,0,0,0,0
71,70.84,71,0,0,0,0,0,0,0
72,71.84,72,0,0,0,0,0,0,0
73,72.84,73,0,0,0,0,0,0,0
74,73.84,74,0,0,0,0,0,0,0
75,74.84,75,0,0,0,0,0,0,0
76,75.84,76,0,0,0,0,0,0,0
77,76.84,77,0,0,0,0,0,0,0
78,77.84,78,0,0,0,0,0,0,0
79,78.84,79,0,0,0,0,0,0,0
80,79.84,80,0,0,0,0,0,0,0
81,80.84,81,0,0,0,0,0,0,0
82,81.84,82,0,0,0,0,0,0,0
83,82.84,83,0,0,0,0,0,0,0
84,83.84,84,0,0,0,0,0,0,0
85,84.84,85,0,0,0,0,0,0,0
86,85.84,86,0,0,0,0,0,0,0
87,86.84,87,0,0,0,0,0,0,0
88,87.84,88,0,0,0,0,0,0,0
89,88.84,89,0,0,0,0,0,0,0
90,89.84,90,0,0,0,0,0,0,0
91,90.84,91,0,0,0,0,0,0,0
92,91.84,92,0,0,0,0,0,0,0
93,92.84,93,0,0,0,0,0,0,0
94,93.84,94,0,0,0,0,0,0,0
95,94.84,95,0,0,0,0,0,0,0
96,95.84,96,0,0,0,0,0,0,0
97,96.84,97,0,0,0,0,0,0,0
98,97.84,98,0,0,0,0,0,0,0
99,98.84,99,0,0,0,0,0,0,0
100,99.84,100,0,0,0,0,0,0,0
101,100.84,101,0,0,0,0,0,0,0
102,101.84,102,0,0,0,0,0,0,0
103,102.84,103,0,0,0,0,0,0,0
104,103.84,104,0,0,0,0,0,0,0
105,104.84,105,0,0,0,0,0,0,0
106,105.84,106,0,0,0,0,0,0,0
107,106.84,107,0,0,0,0,0,0,0
108,107.84,108,0,0,0,0,0,0,0
109,108.84,109,0,0,0,0,0,0,0
110,109.84,110,0,0,0,0,0,0,0
111,110.84,111,0,0,0,0,0,0,0
112,111.84,112,0,0,0,0,0,0,0
113,112.84,113,0,0,0,0,0,0,0
114,113.84,114,0,0,0,0,0,0,0
115,114.84,115,0,0,0,0,0,0,0
116,115.84,116,0,0,0,0,0,0,0
117,116.84,117,0,0,0,0,0,0,0
118,117.84,118,0,0,0,0,0,0,0
119,118.84,119,0,0,0,0,0,0,0
120,119.84,120,0,0,0,0,0,0,0
121,120.84,121,0,0,0,0,0,0,0
