PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,-1.84,-9.37,-98.46,0,0,0,0
2,0,0,-1.83,-10.59,-99.83,0,0,0,0
3,0,0,-1.82,-11.22,-100.61,0,0,0,0
4,0,0,-1.81,-11.85,-101.38,0,0,0,0
5,0,0,-1.8,-12.48,-102.16,0,0,0,0
6,0,0,-1.79,-13.12,-102.93,0,0,0,0
7,0,0,-1.78,-13.75,-103.7,0,0,0,0
8,0,0,-1.77,-14.39,-104.48,0,0,0,0
9,0,0,-1.76,-15.03,-105.25,0,0,0,0
10,0,0,-1.75,-15.65,-106.03,0,0,0,0
11,0,0,-1.74,-16.29,-106.8,0,0,0,0
12,0,0,-1.73,-16.92,-107.58,0,0,0,0
13,0,0,-1.72,-17.55,-108.34,0,0,0,0
14,0,0,-1.71,-18.19,-109.12,0,0,0,0
15,0,0,-1.7,-18.82,-109.9,0,0,0,0
16,0,0,-1.69,-19.45,-110.67,0,0,0,0
17,0,0,-1.68,-20.09,-111.44,0,0,0,0
18,0,0,-1.67,-20.72,-112.21,0,0,0,0
19,0,0,-1.66,-21.35,-112.99,0,0,0,0
20,0,0,-1.65,-21.98,-113.77,0,0,0,0
21,0,0,-1.64,-22.62,-114.54,0,0,0,0
22,0,0,-1.63,-23.25,-115.31,0,0,0,0
23,0,0,-1.62,-23.89,-116.09,0,0,0,0
24,0,0,-1.61,-24.52,-116.85,0,0,0,0
25,0,0,-1.6,-25.15,-117.63,0,0,0,0
26,0,0,-1.59,-25.79,-118.41,0,0,0,0
27,0,0,-1.58,-26.42,-119.18,0,0,0,0
28,0,0,-1.58,-27.13,-119.88,0,0,0,0
29,0,0,-1.57,-27.83,-120.6,0,0,0,0
30,0,0,-1.57,-28.51,-121.32,0,0,0,0
31,0,0,-1.56,-29.2,-122.05,0,0,0,0
32,0,0,-1.55,-29.87,-122.8,0,0,0,0
33,0,0,-1.55,-30.54,-123.54,0,0,0,0
34,0,0,-1.54,-31.21,-124.28,0,0,0,0
35,0,0,-1.53,-31.88,-125.02,0,0,0,0
36,0,0,-1.53,-32.55,-125.77,0,0,0,0
37,0,0,-1.52,-33.21,-126.52,0,0,0,0
38,0,0,-1.51,-33.89,-127.26,0,0,0,0
39,0,0,-1.51,-34.55,-128,0,0,0,0
40,0,0,-1.5,-35.22,-128.74,0,0,0,0
41,0,0,-1.49,-35.9,-129.48,0,0,0,0
42,0,0,-1.49,-36.58,-130.22,0,0,0,0
43,0,0,-1.48,-37.26,-130.95,0,0,0,0
44,0,0,-1.47,-37.95,-131.68,0,0,0,0
45,0,0,-1.47,-38.63,-132.4,0,0,0,0
46,0,0,-1.46,-39.33,-133.12,0,0,0,0
47,0,0,-1.46,-40.04,-133.83,0,0,0,0
48,0,0,-1.46,-40.75,-134.53,0,0,0,0
49,0,0,-1.46,-41.5,-135.19,0,0,0,0
50,0,0,-1.46,-42.28,-135.82,0,0,0,0
51,0,0,-1.46,-43.1,-136.39,0,0,0,0
52,0,0,-1.46,-43.95,-136.92,0,0,0,0
53,0,0,-1.45,-44.84,-137.38,0,0,0,0
54,0,0,-1.45,-45.77,-137.75,0,0,0,0
55,0,0,-1.45,-46.73,-138.02,0,0,0,0
56,0,0,-1.45,-47.71,-138.18,0,0,0,0
57,0,0,-1.45,-48.71,-138.23,0,0,0,0
58,0,0,-1.45,-49.71,-138.16,0,0,0,0
59,0,0,-1.45,-50.69,-137.96,0,0,0,0
60,0,0,-1.44,-51.64,-137.65,0,0,0,0
61,0,0,-1.44,-52.56,-137.25,0,0,0,0
62,0,0,-1.44,-53.44,-136.78,0,0,0,0
63,0,0,-1.44,-54.28,-136.24,0,0,0,0
64,0,0,-1.44,-55.09,-135.66,0,0,0,0
65,0,0,-1.44,-55.87,-135.03,0,0,0,0
66,0,0,-1.43,-56.63,-134.37,0,0,0,0
67,0,0,-1.43,-57.36,-133.69,0,0,0,0
68,0,0,-1.43,-58.07,-132.99,0,0,0,0
69,0,0,-1.43,-58.8,-132.31,0,0,0,0
70,0,0,-1.43,-59.53,-131.63,0,0,0,0
71,0,0,-1.43,-60.26,-130.94,0,0,0,0
72,0,0,-1.43,-60.99,-130.26,0,0,0,0
73,0,0,-1.43,-61.72,-129.58,0,0,0,0
74,0,0,-1.42,-62.45,-128.89,0,0,0,0
75,0,0,-1.42,-63.18,-128.21,0,0,0,0
76,0,0,-1.42,-63.91,-127.52,0,0,0,0
77,0,0,-1.42,-64.64,-126.84,0,0,0,0
78,0,0,-1.42,-65.37,-126.16,0,0,0,0
79,0,0,-1.42,-66.1,-125.47,0,0,0,0
80,0,0,-1.42,-66.83,-124.79,0,0,0,0
81,0,0,-1.42,-67.56,-124.11,0,0,0,0
82,0,0,-1.42,-68.29,-123.42,0,0,0,0
83,0,0,-1.42,-69.02,-122.74,0,0,0,0
84,0,0,-1.42,-69.75,-122.06,0,0,0,0
85,0,0,-1.41,-70.48,-121.37,0,0,0,0
86,0,0,-1.41,-71.21,-120.69,0,0,0,0
87,0,0,-1.41,-71.94,-120.01,0,0,0,0
88,0,0,-1.41,-72.67,-119.32,0,0,0,0
89,0,0,-1.41,-73.4,-118.64,0,0,0,0
90,0,0,-1.41,-74.13,-117.95,0,0,0,0
91,0,0,-1.41,-74.86,-117.27,0,0,0,0
92,0,0,-1.41,-75.59,-116.59,0,0,0,0
93,0,0,-1.41,-76.32,-115.9,0,0,0,0
94,0,0,-1.41,-77.05,-115.22,0,0,0,0
95,0,0,-1.4,-77.78,-114.54,0,0,0,0
96,0,0,-1.4,-78.51,-113.85,0,0,0,0
97,0,0,-1.4,-79.24,-113.17,0,0,0,0
98,0,0,-1.4,-79.97,-112.49,0,0,0,0
99,0,0,-1.4,-80.7,-111.8,0,0,0,0
100,0,0,-1.4,-81.43,-111.12,0,0,0,0
101,0,0,-1.4,-82.16,-110.43,0,0,0,0
102,0,0,-1.4,-82.91,-109.77,0,0,0,0
103,0,0,-1.4,-83.63,-109.08,0,0,0,0
104,0,0,-1.4,-84.32,-108.36,0,0,0,0
105,0,0,-1.4,-84.97,-107.6,0,0,0,0
106,0,0,-1.4,-85.57,-106.8,0,0,0,0
107,0,0,-1.39,-86.1,-105.95,0,0,0,0
108,0,0,-1.39,-86.55,-105.06,0,0,0,0
109,0,0,-1.39,-86.91,-104.12,0,0,0,0
110,0,0,-1.39,-87.16,-103.15,0,0,0,0
111,0,0,-1.39,-87.29,-102.16,0,0,0,0
112,0,0,-1.39,-87.3,-101.16,0,0,0,0
113,0,0,-1.39,-87.17,-100.17,0,0,0,0
114,0,0,-1.39,-86.93,-99.2,0,0,0,0
115,0,0,-1.39,-86.59,-98.26,0,0,0,0
116,0,0,-1.39,-86.16,-97.36,0,0,0,0
117,0,0,-1.38,-85.65,-96.49,0,0,0,0
118,0,0,-1.38,-85.09,-95.66,0,0,0,0
119,0,0,-1.38,-84.49,-94.87,0,0,0,0
120,0,0,-1.38,-83.85,-94.1,0,0,0,0
121,0,0,-1.38,-83.17,-93.37,0,0,0,0
122,0,0,-1.38,-82.47,-92.65,0,0,0,0
123,0,0,-1.38,-81.75,-91.96,0,0,0,0
124,0,0,-1.38,-81.42,-91.67,0,0,0,0
125,0,0,-1.38,-80.85,-90.84,0,0,0,0
126,0,0,-1.38,-80.26,-90.03,0,0,0,0
127,0,0,-1.38,-79.62,-89.26,0,0,0,0
128,0,0,-1.38,-78.97,-88.5,0,0,0,0
129,0,0,-1.38,-78.34,-87.73,0,0,0,0
130,0,0,-1.38,-77.7,-86.96,0,0,0,0
131,0,0,-1.38,-77.06,-86.19,0,0,0,0
132,0,0,-1.38,-76.43,-85.43,0,0,0,0
133,0,0,-1.38,-75.78,-84.66,0,0,0,0
134,0,0,-1.38,-75.14,-83.88,0,0,0,0
135,0,0,-1.38,-74.5,-83.11,0,0,0,0
136,0,0,-1.38,-73.86,-82.35,0,0,0,0
137,0,0,-1.38,-73.23,-81.58,0,0,0,0
138,0,0,-1.38,-72.58,-80.81,0,0,0,0
139,0,0,-1.38,-71.94,-80.04,0,0,0,0
140,0,0,-1.38,-71.31,-79.27,0,0,0,0
141,0,0,-1.38,-70.66,-78.51,0,0,0,0
142,0,0,-1.38,-70.02,-77.74,0,0,0,0
143,0,0,-1.38,-69.39,-76.97,0,0,0,0
144,0,0,-1.38,-68.74,-76.2,0,0,0,0
145,0,0,-1.38,-68.11,-75.43,0,0,0,0
146,0,0,-1.38,-67.46,-74.66,0,0,0,0
147,0,0,-1.38,-66.83,-73.9,0,0,0,0
148,0,0,-1.38,-66.19,-73.12,0,0,0,0
149,0,0,-1.38,-65.54,-72.36,0,0,0,0
150,0,0,-1.38,-64.9,-71.59,0,0,0,0
151,0,0,-1.38,-64.27,-70.82,0,0,0,0
152,0,0,-1.38,-63.62,-70.05,0,0,0,0
153,0,0,-1.38,-62.98,-69.29,0,0,0,0
154,0,0,-1.38,-62.34,-68.51,0,0,0,0
155,0,0,-1.44,-61.67,-67.77,0,0,0,0
156,0,0,-1.5,-61.02,-67.02,0,0,0,0
157,0,0,-1.57,-60.38,-66.25,0,0,0,0
158,0,0,-1.63,-59.74,-65.49,0,0,0,0
159,0,0,-1.69,-59.1,-64.72,0,0,0,0
160,0,0,-1.75,-58.46,-63.95,0,0,0,0
161,0,0,-1.81,-57.82,-63.19,0,0,0,0
162,0,0,-1.87,-57.17,-62.43,0,0,0,0
163,0,0,-1.94,-56.51,-61.68,0,0,0,0
164,0,0,-2,-55.84,-60.94,0,0,0,0
165,0,0,-2.06,-55.15,-60.22,0,0,0,0
166,0,0,-2.13,-54.45,-59.51,0,0,0,0
167,0,0,-2.19,-53.72,-58.83,0,0,0,0
168,0,0,-2.25,-52.96,-58.19,0,0,0,0
169,0,0,-2.32,-52.14,-57.61,0,0,0,0
170,0,0,-2.34,-51.91,-57.47,0,0,0,0
171,0,0,-2.34,-51.86,-57.43,0,0,0,0
172,0,0,-2.32,-51.21,-56.67,0,0,0,0
173,0,0,-2.31,-50.56,-55.91,0,0,0,0
174,0,0,-2.29,-49.91,-55.15,0,0,0,0
175,0,0,-2.28,-49.26,-54.39,0,0,0,0
176,0,0,-2.26,-48.62,-53.63,0,0,0,0
177,0,0,-2.25,-47.97,-52.87,0,0,0,0
178,0,0,-2.23,-47.32,-52.11,0,0,0,0
179,0,0,-2.22,-46.67,-51.35,0,0,0,0
180,0,0,-2.2,-46.02,-50.59,0,0,0,0
181,0,0,-2.19,-45.37,-49.83,0,0,0,0
182,0,0,-2.17,-44.72,-49.07,0,0,0,0
183,0,0,-2.16,-44.07,-48.31,0,0,0,0
184,0,0,-2.14,-43.42,-47.55,0,0,0,0
185,0,0,-2.13,-42.77,-46.79,0,0,0,0
186,0,0,-2.12,-42.12,-46.03,0,0,0,0
187,0,0,-2.1,-41.47,-45.27,0,0,0,0
188,0,0,-2.09,-40.82,-44.51,0,0,0,0
189,0,0,-2.07,-40.17,-43.75,0,0,0,0
190,0,0,-2.06,-39.52,-42.99,0,0,0,0
191,0,0,-2.04,-38.87,-42.23,0,0,0,0
192,0,0,-2.03,-38.22,-41.47,0,0,0,0
193,0,0,-2.01,-37.57,-40.71,0,0,0,0
194,0,0,-2,-36.92,-39.95,0,0,0,0
195,0,0,-2,-36.25,-39.21,0,0,0,0
196,0,0,-2,-35.57,-38.47,0,0,0,0
197,0,0,-1.99,-34.89,-37.73,0,0,0,0
198,0,0,-1.99,-34.22,-37,0,0,0,0
199,0,0,-1.99,-33.54,-36.26,0,0,0,0
200,0,0,-1.99,-32.87,-35.52,0,0,0,0
201,0,0,-1.99,-32.19,-34.79,0,0,0,0
202,0,0,-1.99,-31.51,-34.05,0,0,0,0
203,0,0,-1.99,-30.84,-33.31,0,0,0,0
204,0,0,-1.99,-30.16,-32.57,0,0,0,0
205,0,0,-1.99,-29.49,-31.84,0,0,0,0
206,0,0,-1.99,-28.81,-31.1,0,0,0,0
